reach_id,time,p_lat,p_lon,wse,wse_u,width,width_u,reach_q,reach_q_b,dark_frac,ice_clim_f,obs_frac_n,ice_dyn_f,slope2,slope2_r_u,xovr_cal_q,p_width,p_n_ch_max,p_n_ch_mod,p_length,slope,slope_r_u,date
64247800361,765524640.782,-18.50176674,-54.7595149,194.0374,0.09854,186.628207,0.776484,1,12,0.10014551061,0,1.0,-999,0.00032978237,2.78e-06,0,202.0,2,1,9295.608,0.00033807407,2.611313e-05,2024-04-04
41301301171,765560671.915,39.28150149,140.4120267,43.6663,0.09245,127.45757,0.985767,1,12,0.00732048396,0,1.0,-999,0.0013166148,7.5337e-07,0,54.0,2,1,13098.954423,0.00131485253,1.541815e-05,2024-04-04
81160500011,754040285.186,59.30323529,-157.5676156,20.1951,0.0986,353.051108,1.032401,1,12,0.23635808403,1,0.86746987952,-999,0.00027679744,7.0703e-07,0,290.0,6,1,16687.702209,0.00027675042,1.092216e-05,2023-11-23
74226000311,754075907.361,34.96000282,-97.7882516,304.9239,0.10508,27.392752,0.27671,1,4,0.0,0,0.79787234043,-999,0.00042043692,4.69392e-06,0,63.0,2,1,18834.991685,0.00040429335,1.990992e-05,2023-11-23
74244700401,754075967.957,38.16772236,-95.7247595,300.3382,0.11726,18.761896,0.300888,1,4,0.0,0,0.65517241379,-999,0.00026416242,5.9501e-06,0,36.0,1,1,11523.100852,0.00029490489,2.750718e-05,2023-11-23
74248300011,754075924.831,35.92201074,-97.4199519,273.0735,0.09521,110.021069,0.5868,1,12,0.03872585478,0,0.96875,-999,0.00044703108,1.7743e-06,0,190.0,2,1,12827.187654,0.0004009531,1.832598e-05,2023-11-23
74249200041,754075937.523,36.64791301,-97.2804717,282.6835,0.09708,40.435874,0.409647,1,4,0.0,0,0.95714285714,-999,0.00031643005,2.46027e-06,0,84.0,1,1,14009.337456,0.0003354314,1.96039e-05,2023-11-23
74294100021,754076015.22,41.0406542,-96.1152015,304.0999,0.09326,322.710367,0.688571,1,12,0.02663793439,0,1.0,-999,0.00068351564,6.9021e-07,0,257.0,3,1,14210.071921,0.00067696099,1.431771e-05,2023-11-23
22720300041,754083749.143,45.54611031,27.5484757,9.9501,0.09391,144.296719,0.487999,1,12,0.08281168265,0,0.96842105263,-999,0.00014453979,8.7128e-07,0,171.0,2,1,18982.43673,0.00014895838,1.313424e-05,2023-11-23
64247800351,754062625.472,-18.44536052,-54.8074484,190.4576,0.09392,249.381865,1.036887,1,12,0.02435477858,0,1.0,-999,0.0003111822,9.9772e-07,0,255.5,3,1,9252.402251,0.00031550547,2.187708e-05,2023-11-23
64247800361,754062624.753,-18.50176674,-54.7595149,193.3905,0.09363,209.905393,1.135026,1,12,0.00320491351,0,1.0,-999,0.00033809566,1.2732e-06,0,202.0,2,1,9295.608,0.00035345984,2.170302e-05,2023-11-23
71249000181,754082396.553,52.34670622,-116.2527077,1217.6584,0.1234,195.487649,0.914101,1,12,0.0489904506,1,0.86206896552,-999,0.00191761724,6.8102e-07,0,96.0,4,1,17442.992745,0.001907576,5.497583e-05,2023-11-23
23285000071,754051518.186,51.84506551,12.7298415,66.0339,0.09349,174.78179,1.432375,1,8,0.0,0,1.0,-999,0.00020374611,7.9315e-07,0,125.252014,1,1,11876.729324,0.00020977669,1.737177e-05,2023-11-23
23285000111,754051514.408,51.555425,13.0309006,77.4676,0.0948,126.671305,0.736477,1,12,0.0,0,0.98245614035,-999,0.00023652726,1.06696e-06,0,120.518127,1,1,11472.110851,0.00023090673,2.007745e-05,2023-11-23
