stationid,COMID,q50,q50_weighted,slope
Brazil_14540000,62000129,42.155983,39.07705154418945,0.001590348569
Brazil_14550000,62000401,52.60772,44.13256173384817,0.000245765052
Brazil_14650000,62002023,187.53227,157.63710139347955,0.000207843323
Brazil_14680001,62002009,222.64569,192.6811065673828,0.000326748041
Brazil_14690000,62001925,290.74075,244.96283721923828,4.7487397e-05
Brazil_14710000,62005313,1888.1108,1802.0478644120067,0.000202809671
Brazil_14750000,62005573,79.17998,67.9479700036951,0.000181787398
Brazil_14850000,62022917,112.74307,125.37379081294222,0.000417632558211
Brazil_15120001,62139285,156.82956,90.13007588289221,0.000110577441
Brazil_15130000,62131029,600.88904,370.63256759643554,0.000176387781
Brazil_15150000,62126809,1078.4537,607.8024509974888,5.315841e-06
Brazil_15200000,62122198,2274.7688,1379.3026373447517,0.000195744198289
Brazil_15320002,62098852,15084.061,10555.724703017979,3.3651293e-05
Brazil_15325000,62103760,405.96866,151.7670628795885,0.000179671616529
Brazil_15326000,62098949,411.8228,160.92322175399116,6.1479561e-05
Brazil_15400000,62089098,16041.907,13425.96727195946,7.6879469e-05
Brazil_15556010,62117996,126.24726,79.69776514956826,0.001376472014
Brazil_15559000,62117967,249.56554,154.0775990486145,0.000126324367
Brazil_15560000,62108811,541.79596,339.056983792052,0.001032618124
Brazil_15670000,62068779,674.3821,345.1325944218322,5.5734222e-05
Brazil_15790000,62089166,701.5788,405.54611452164187,0.000115042342745
Brazil_15795000,62084544,348.30682,183.71747425624304,0.000746277672
Brazil_15820000,62099169,433.1009,260.55335598900206,0.000315118953
Brazil_15828000,62084316,1155.2646,598.8050209403838,0.000182827671
Brazil_15830000,62079106,2652.819,1385.688877335514,0.000118017339
Brazil_15910000,62074494,282.6813,150.62310871711145,0.000831239713591
Brazil_15930000,62079365,102.656525,59.361755924840125,3.3073986e-05
Brazil_16080000,62032875,481.53836,364.9863741892689,0.001296051248
Brazil_16100000,62032858,520.6127,390.5257059733073,6.1346734e-05
Brazil_16200000,62032616,512.676,537.7803469571201,6.1541657e-05
Brazil_16368000,62027574,220.77998,173.21831067403158,4.9121057e-05
Brazil_16370000,62013203,324.5811,294.8295603106099,0.000313861325266
Brazil_16430000,62022433,829.64905,761.4469838018002,0.003242284025
Brazil_16460000,62022432,1171.5255,1127.1306445782002,0.000482622751
Brazil_16480000,62022395,475.73895,487.5493171078035,0.000561389356
Brazil_16500000,62027456,629.08136,606.7848827220776,2.5337071e-05
Brazil_16800000,62027494,729.0835,639.4316202799479,0.000125416945
Brazil_17090000,62027516,428.78622,422.6068205180921,0.000140707301
Brazil_17093000,62113575,1296.3082,825.3118176159558,0.001465421815
Brazil_17095000,62118074,566.32935,340.13465893753175,0.000771993587113
Brazil_17120000,62113594,823.882,508.5630266974954,0.00031986299
Brazil_17122000,62108902,298.04715,199.69231597470565,5.2470595e-05
Brazil_17123000,62108872,1249.6041,755.1842956542969,5.95282e-05
Brazil_17130000,62084274,4080.3713,2424.956199363426,1.37332e-05
Brazil_17200000,62131295,161.10225,96.73695550141511,0.000250181837
Brazil_17280000,62118017,580.35,329.66191437284823,0.000167387537
Brazil_17340000,62103788,921.13837,503.85741787512325,0.000125446412
Brazil_17343000,62103947,250.35037,149.7187581592136,3.0867494e-05
Brazil_17380000,62099011,1698.1353,919.7495191786024,0.00079902108
Brazil_17610000,62074432,170.10631,103.14727251153244,0.000372301515
Brazil_17675000,62068909,934.59534,513.3431943913096,0.00023690729
Brazil_18119000,62038153,236.12419,192.34915250890396,0.001628179578
Brazil_18200000,62032714,219.7965,194.3667360701651,0.000411886054
Brazil_18415000,62131313,188.59052,132.76547994242085,0.000520041316494
Brazil_18435000,62108971,70.42044,10.050516963005066,0.0
Brazil_18436000,62103999,178.17836,89.48797697179458,0.000546763722304
Brazil_18500000,62074102,741.77594,433.38710478163256,0.0
Brazil_18520000,62063358,5063.68,2727.415867017663,1.2581359e-05
Brazil_18590000,62068831,1381.219,714.2294085272428,0.000262546664312
Brazil_18640000,62079344,497.6433,280.358447265625,2.6405944e-05
Brazil_18650000,62063455,874.9166,512.6870709228516,0.000666580307
Brazil_18870000,62058464,149.8497,125.69175801132664,0.00032629268
Brazil_18880000,62048146,306.92563,259.5144612080342,0.000665736412011
Brazil_19150000,62022301,1541.6641,1411.7332763671875,0.000237344269
