date,width,Q,83Q,stationid
2018-07-01,368.2148677525896,565.0,344.2269213410373,fuyu
2018-07-01,368.2148677525896,565.0,344.2269213410373,fuyu
2018-08-02,377.7171904031704,550.0,368.42801517157955,fuyu
2018-08-02,375.3415195879418,550.0,362.28103459871926,fuyu
2018-08-02,377.7171904031704,550.0,368.42801517157955,fuyu
2018-08-02,375.3415195879418,550.0,362.28103459871926,fuyu
2018-10-05,394.3467418656367,877.0,413.2853366767715,fuyu
2018-10-21,375.3420244424084,605.0,362.28233403328005,fuyu
2018-11-06,380.0931497066655,457.0,374.6405292206345,fuyu
2018-11-06,380.0931497066655,457.0,374.6405292206345,fuyu
2018-11-06,380.0931497066655,457.0,374.6405292206345,fuyu
2018-11-06,380.0931497066655,457.0,374.6405292206345,fuyu
2001-03-31,44.30525545149684,17.1,9.478172384479292,heishiguan
2001-06-27,58.22968754187661,15.1,19.643966098114255,heishiguan
2001-07-05,5.063496872654909,24.700000000000003,0.02915493469378233,heishiguan
2001-10-17,16.456375043551674,29.3,0.6756707012357966,heishiguan
2001-11-09,54.43215204307595,47.26666666666667,16.41063162404258,heishiguan
2002-06-06,15.190523072335978,8.275,0.5458054817808999,heishiguan
2002-06-14,24.051555443791543,2.4000000000000004,1.858770328948648,heishiguan
2002-09-02,50.63456775802691,19.266666666666666,13.532236170027115,heishiguan
2003-03-21,50.63451122460602,21.7,13.532195880139527,heishiguan
2003-07-27,86.07868541370739,74.0,55.70561231726736,heishiguan
2004-04-08,79.74932850858973,81.5,45.44115658401791,heishiguan
2004-05-17,89.87620866360018,112.0,62.50238653347478,heishiguan
2004-06-11,59.49569738790471,34.150000000000006,20.803613445485684,heishiguan
2004-06-27,46.837048486411874,13.266666666666666,10.992150569383217,heishiguan
2004-08-30,81.01531406618514,98.125,47.39031585058852,heishiguan
2004-10-24,68.35687580403086,48.9,30.12519253143996,heishiguan
2005-03-17,7.595010485902659,12.5,0.08595140050201683,heishiguan
2006-05-16,83.54715159499625,90.7,51.443243668311844,heishiguan
2006-05-23,94.93980300406037,109.7,72.33905316316175,heishiguan
2006-06-01,78.48368319843482,85.3,43.54339490460463,heishiguan
2006-06-17,59.4957420911838,17.65,20.803655128738356,heishiguan
2006-09-12,63.29333014512757,37.9,24.535701190632555,heishiguan
2008-02-22,63.29322084718053,29.2,24.535588205671722,heishiguan
2008-03-02,62.02742561876876,26.1,23.248804974290184,heishiguan
2008-03-09,60.76151700944066,23.55,22.00494252522073,heishiguan
2008-03-25,58.2297524506191,9.275,19.64402449061129,heishiguan
2008-05-12,68.35677027497856,39.6,30.125068512550722,heishiguan
2008-11-20,170.8912960726442,2.075,346.8144091665076,heishiguan
2009-01-23,120.25685394444146,6.0,135.8741535055133,heishiguan
2009-06-25,69.62246018372106,57.54,31.635564717509954,heishiguan
2009-08-12,96.20551311826624,99.8,74.93945162516505,heishiguan
2010-05-11,143.04229411784414,117.0,215.81544795702183,heishiguan
2010-06-28,75.95186566570406,87.97999999999999,39.89757257425346,heishiguan
2010-10-02,137.9789754301565,104.5,196.04016470552074,heishiguan
2011-03-27,145.57399397730626,40.55,226.1521617185409,heishiguan
2011-04-19,130.38367756603105,36.3,168.56699854909678,heishiguan
2011-05-14,132.91551509484214,23.0,177.43764297875234,heishiguan
2011-07-08,65.82479905509622,27.0,27.240561924465354,heishiguan
2011-10-21,10.12707488123794,136.0,0.18512625116251397,heishiguan
2013-06-04,86.07864468870605,49.46666666666667,55.70554203706636,heishiguan
2013-06-27,72.1544314036034,43.4,34.797280703201594,heishiguan
2013-10-17,131.64971170049176,8.4,172.96718459327562,heishiguan
2013-10-26,115.1935635234643,8.175,121.14881928322787,heishiguan
2013-11-11,129.1180886846055,14.4,164.2389600349155,heishiguan
2013-11-18,139.2449084326088,12.1,200.8732689365503,heishiguan
2013-11-27,135.4473242522513,11.5,186.59432453884781,heishiguan
2014-03-10,144.3082836537173,16.0,220.94659536344216,heishiguan
2014-04-04,130.38376655382314,13.85,168.5673053444223,heishiguan
2014-05-06,136.71309519223038,14.2,191.28060013913355,heishiguan
2014-06-07,132.91553530030552,30.55,177.43771490835866,heishiguan
2014-07-16,8.861162188940556,9.655,0.12966390948975998,heishiguan
2014-11-14,112.6618718299408,21.0,114.17802248565661,heishiguan
2015-04-14,137.9789956356199,53.7,196.04024125984776,heishiguan
2015-04-23,131.6496549576879,86.0,172.96698579016632,heishiguan
2015-11-01,84.81286170920214,22.65,53.547828347666766,heishiguan
2015-12-03,100.003238841559,60.1,83.08987885081534,heishiguan
2016-07-21,110.13009920987216,174.5,107.46326497478277,heishiguan
2016-09-07,83.546981471276,22.6,51.442964330605264,heishiguan
2016-09-23,115.19349065816628,19.15,121.14861493060262,heishiguan
2016-10-02,129.11797143010293,22.450000000000003,164.23856230612452,heishiguan
2017-01-13,140.51068743383496,15.4,205.7795624581636,heishiguan
2017-03-02,136.71313968612648,14.2,191.28076614754593,heishiguan
2017-03-18,96.20557771293416,13.25,74.93958580158366,heishiguan
2017-03-27,96.2055737346564,17.2,74.93957753787771,heishiguan
2017-04-28,113.92771155224858,18.2,117.6311330766368,heishiguan
2017-07-24,65.82492458022888,19.4,27.24070044897819,heishiguan
2017-08-09,86.07869745323221,12.6,55.70563309420114,heishiguan
2017-10-28,127.8520627160833,98.6,159.9795930890128,heishiguan
2017-11-13,131.6496711848735,82.1,172.96704264343953,heishiguan
2017-12-24,87.34456962991129,22.0,57.91704224071849,heishiguan
2018-08-28,83.54698544955376,14.5,51.442970862799264,heishiguan
2018-09-22,92.40800567679298,56.2,67.30844284892197,heishiguan
2018-09-29,88.61040537394136,26.9,60.182452126534905,heishiguan
2018-11-09,84.81281313233679,17.1,53.54774656181955,heishiguan
2014-08-01,25.316795807146494,5.54,2.131084090520056,heishiguan
2018-08-12,15.190344782677156,31.25,0.54578839910887,heishiguan
2002-05-31,105.27024660272112,78.0,30.446206171985743,huaibin
2002-07-10,147.6348066944187,200.0,75.02767741490597,huaibin
2004-05-19,83.44586295434985,19.0,16.385673763893983,huaibin
2004-09-17,123.2430800615731,138.0,46.35375553305653,huaibin
2006-06-19,78.31072449764963,16.6,13.832737054357075,huaibin
2008-03-04,115.54046289476298,62.0,39.02495565176428,huaibin
2008-05-07,123.2430801650225,381.0,46.353755636813936,huaibin
