COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD,stationid,node_data_num,width_u_r
42025877,0,42249800140261,49.24809325,125.0787604,744667520.151,222.80579,0.09824,181.7596,8.051016,11200260.0,liujiatun,44,0.044294859803828794
42025877,0,42249800140261,49.24782055,125.0790981,765048061.705,222.99902,0.38266,216.776149,6.79751,11200260.0,liujiatun,44,0.031357278147791066
42025877,6,42249800140261,49.2479444,125.0784133,743722941.881,223.35896,0.13078,178.393914,3.564396,11200260.0,liujiatun,44,0.019980479827355544
42025877,6,42249800140261,49.24811888,125.0786888,770763515.4,222.83236,0.10963,154.339705,4.064926,11200260.0,liujiatun,44,0.02633752604360621
42025877,0,42249800140261,49.2480736,125.0789381,772258881.262,222.84249,0.10612,160.538654,8.303849,11200260.0,liujiatun,44,0.051724919781624676
42025877,0,42249800140261,49.24823988,125.0792552,752429128.174,222.97731,0.10424,254.151397,9.450473,11200260.0,liujiatun,44,0.037184422795047634
42025877,5,42249800140261,49.24802755,125.0787647,773203456.586,222.8716,0.18525,114.873209,3.857034,11200260.0,liujiatun,44,0.033576445139614754
42025877,0,42249800140261,49.24822485,125.0794768,754231833.455,222.93743,0.15558,282.804557,9.228842,11200260.0,liujiatun,44,0.03263328603294041
42025877,6,42249800140261,49.24813277,125.0787503,774368923.09,222.93745,0.11618,138.128337,4.35839,11200260.0,liujiatun,44,0.0315531924488456
42025877,0,42249800140261,49.24799791,125.0787083,771708091.9,222.72203,0.10007,142.994991,5.834085,11200260.0,liujiatun,44,0.04079922631695539
42025877,0,42249800140261,49.24750049,125.0785211,760891863.677,223.20099,0.15968,294.719579,7.702705,11200260.0,liujiatun,44,0.026135708479686718
42020496,4,42249900340181,50.04892712,125.3211428,768653460.829,271.27227,0.09504,115.390842,5.906719,11200020.0,shihuiyao,47,0.05118880231413858
42020496,5,42249900340181,50.04890828,125.3212233,769511596.825,271.5174,0.13606,143.150432,5.085058,11200020.0,shihuiyao,47,0.03552247750115068
42020496,13,42249900340181,50.04895838,125.3211398,752736485.425,271.08268,0.20834,128.122467,4.495146,11200020.0,shihuiyao,47,0.03508475995861054
42020496,4,42249900340181,50.0489623,125.3212086,766850757.16,271.66205,0.09727,137.052903,7.297195,11200020.0,shihuiyao,47,0.05324363687502483
42020496,4,42249900340181,50.04865615,125.3215134,774061574.138,271.04837,0.10453,97.71124,7.522362,11200020.0,shihuiyao,47,0.07698563645287891
42020496,4,42249900340181,50.04906742,125.3210756,769905395.931,270.93233,0.09349,143.172924,7.692556,11200020.0,shihuiyao,47,0.05372912548744203
42020496,10,42249900340181,50.04891012,125.3212201,767158124.903,271.49816,0.14341,136.504151,4.262237,11200020.0,shihuiyao,47,0.031224229950340483
42020496,4,42249900340181,50.04895798,125.3211331,775313510.653,271.46407,0.09754,152.022307,7.885183,11200020.0,shihuiyao,47,0.05186859189026778
42020496,4,42249900340181,50.04877669,125.3214206,768102691.038,271.83941,0.0937,182.483045,9.430375,11200020.0,shihuiyao,47,0.05167808877805606
42020496,4,42249900340181,50.04944017,125.3216011,766299988.111,271.54758,0.12032,220.905615,6.942686,11200020.0,shihuiyao,47,0.03142829121840113
42020496,13,42249900340181,50.0489804,125.3211063,754539190.893,271.43046,0.25606,120.417892,3.904003,11200020.0,shihuiyao,47,0.03242045625578631
42020496,5,42249900340181,50.0489212,125.3210937,771314302.506,271.64092,0.14337,134.507876,4.379886,11200020.0,shihuiyao,47,0.03256230140753988
