node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,stationid,COMID,date
42249900150191,42249900151,750075655.639,50.05022128,125.322993,271.63993,0.09218,189.352759,9.868663,0,0,0,0.0,159.0,1,1,0,20340.09961,0.01993,196.11324572,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,shihuiyao,42020496,2023-10-08
42272100010481,42272100011,750075686.833,51.67091489,126.6115717,170.57579,0.0959,258.462029,4.988023,0,0,0,0.21861841921,127.0,1,1,0,51664.04688,0.03312,212.98450737,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,humaqiao,42012937,2023-10-08
43210800030561,43210800031,752137380.842,34.72076693,112.9306355,109.45841,0.1006,127.681909,4.528886,0,0,0,0.0,101.0,1,1,0,51731.27734,0.04494,196.54360743,SWOT_L2_HR_RiverSP_Node_005_549_AS_20231101T065552_20231101T070900_PGD0_01.zip,heishiguan,43027816,2023-11-01
43210800030571,43210800031,752137380.811,34.71906001,112.9298089,109.43086,0.10839,92.213954,3.766602,0,0,0,0.04878993954,108.0,1,1,0,51702.33984,0.06041,221.02968111,SWOT_L2_HR_RiverSP_Node_005_549_AS_20231101T065552_20231101T070900_PGD0_01.zip,heishiguan,43027816,2023-11-01
43210800530011,43210800531,752137379.686,34.71048626,112.6037631,113.16018,0.09553,197.977158,11.250584,0,0,0,0.0,87.0,1,1,0,22687.07031,0.03204,154.11416728,SWOT_L2_HR_RiverSP_Node_005_549_AS_20231101T065552_20231101T070900_PGD0_01.zip,baimasi,43030084,2023-11-01
43210800530021,43210800531,752137379.68,34.71047674,112.6010994,113.23421,0.0927,158.488269,8.839456,0,0,0,0.0,155.0,1,1,0,22468.41797,0.0222,214.71661345,SWOT_L2_HR_RiverSP_Node_005_549_AS_20231101T065552_20231101T070900_PGD0_01.zip,baimasi,43030084,2023-11-01
43210800200021,43210800201,752176291.678,34.55432529,112.4716499,148.39049,0.1275,135.529051,4.109833,0,0,0,0.0,189.0,1,1,0,-59526.22266,0.09031,213.60212559,SWOT_L2_HR_RiverSP_Node_005_562_AS_20231101T174715_20231101T175510_PGD0_01.zip,longmenzhen,43027970,2023-11-01
42243200030031,42243200031,744273824.497,45.80519731,128.7226556,112.62095,0.09924,241.675946,6.528788,0,0,0,0.13150361242,241.5,1,1,0,-50629.81641,0.04181,208.83850155,SWOT_L2_HR_RiverSP_Node_001_338_AS_20230802T064038_20230802T064743_PGD0_01.zip,lianhua,42045708,2023-08-02
42243200030031,42243200031,751484642.496,45.8056993,128.7213887,109.97771,0.1191,103.60875,3.70447,0,0,0,0.16449021133,241.5,1,1,0,-50776.67188,0.07801,208.83850155,SWOT_L2_HR_RiverSP_Node_005_338_AS_20231024T174056_20231024T174801_PGD0_01.zip,lianhua,42045708,2023-10-24
42460001470281,42460001471,748138610.919,41.1826676,122.7161973,3.46068,0.09604,110.398742,6.007524,0,0,0,0.0,105.0,1,1,0,-36488.33594,0.03354,208.20620129,SWOT_L2_HR_RiverSP_Node_003_422_AS_20230916T001242_20230916T001719_PGD0_01.zip,tangmazhai,42061735,2023-09-16
