,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD
0,43120100160181,39.73036567,118.7568509,747366918.33,28.56007,0.14003,257.798246,7.050459,30101400.0
1,43120100160191,-999999999999.0,-999999999999.0,747366918.325,-999999999999.0,-999999999999.0,220.758223,5.50671,30101400.0
2,43120100160201,39.7341851,118.7598207,747366918.321,20.4752,0.14528,309.961849,5.451607,30101400.0
0,42249800140261,49.24789695,125.0787259,766850767.684,222.77595,0.11532,283.146347,7.062122,11200260.0
1,42249800140271,-999999999999.0,-999999999999.0,766850767.682,-999999999999.0,-999999999999.0,128.255442,2.477775,11200260.0
2,42249800140281,-999999999999.0,-999999999999.0,766850767.678,-999999999999.0,-999999999999.0,357.842853,4.531464,11200260.0
3,42249900340171,50.04788527,125.3191021,766850757.161,271.51792,0.09325,136.907101,8.955011,11200020.0
4,42249900340181,50.0489623,125.3212086,766850757.16,271.66205,0.09727,137.052903,7.297195,11200020.0
5,42249900340191,50.05009735,125.3232203,766850757.158,271.66259,0.09318,167.067237,9.822349,11200020.0
0,43210800030551,34.72233622,112.9314593,768361714.335,109.21196,0.11106,149.146034,4.647269,41657600.0
1,43210800030561,34.7207854,112.9304354,768361714.331,109.12464,0.10382,160.672216,4.866446,41657600.0
2,43210800030571,34.71907059,112.929565,768361714.326,109.16963,0.10886,123.003168,4.508378,41657600.0
3,43210800180074,34.55769581,112.4725965,768361705.172,148.94744,0.09492,-999999999999.0,-999999999999.0,41654600.0
4,43210800190011,34.55612346,112.4722251,768361705.168,149.12289,0.09805,284.090465,10.329767,41654600.0
5,43210800190021,34.55425596,112.4718911,768361705.164,148.91816,0.09583,198.327312,10.94619,41654600.0
6,43210800500024,34.71054058,112.6066914,768361705.596,112.75243,0.17072,93.985127,5.046081,41643400.0
7,43210800510011,34.70998279,112.6035957,768361705.597,118.81198,0.09153,344.799499,12.034046,41643400.0
8,43210800510021,34.71013587,112.6012095,768361705.595,118.76417,0.09212,349.088142,12.549901,41643400.0
9,43210800180074,34.55777016,112.4750038,768400620.433,167.68875,1.13203,-999999999999.0,-999999999999.0,41654600.0
10,43210800190011,34.55572652,112.4732272,768400620.437,159.57633,0.20931,152.9627,3.622488,41654600.0
11,43210800190021,34.55455014,112.4723115,768400620.441,152.17701,0.28728,100.581975,1.367638,41654600.0
12,43210800500024,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,41643400.0
13,43210800510011,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,41643400.0
14,43210800510021,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,41643400.0
0,42246100030131,45.19290669,124.7548169,765355329.58,128.5901,0.09518,323.486986,5.781991,10959200.0
1,42246100030141,45.19257332,124.7573294,765355329.58,128.65973,0.09533,346.619926,5.936235,10959200.0
2,42246100030151,45.19188249,124.7595945,765355329.58,128.63518,0.09505,348.389286,5.960204,10959200.0
3,42247700040351,-999999999999.0,-999999999999.0,765355338.805,-999999999999.0,-999999999999.0,145.935088,33.582997,11420330.0
4,42247700040361,-999999999999.0,-999999999999.0,765355338.807,-999999999999.0,-999999999999.0,90.421687,34.812605,11420330.0
5,42247700040371,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11420330.0
6,42249800140261,49.24802329,125.0789495,765355399.447,222.81831,0.17174,145.18345,1.625983,11200260.0
7,42249800140271,49.24972454,125.0784816,765355399.452,225.76763,0.26185,128.230878,1.141138,11200260.0
8,42249800140281,-999999999999.0,-999999999999.0,765355399.456,-999999999999.0,-999999999999.0,133.557842,0.102511,11200260.0
9,42249900340171,50.04799593,125.3191382,765355418.616,271.26189,0.75641,127.830392,0.865437,11200020.0
10,42249900340181,50.04916851,125.3201758,765355418.619,271.53033,2.30807,125.856326,0.678177,11200020.0
11,42249900340191,-999999999999.0,-999999999999.0,765355418.623,-999999999999.0,-999999999999.0,99.990112,0.514253,11200020.0
