stationid,w50,w_low,w_high,num
Brazil_56719998,176.523865106913,154.73735708782462,192.60688678185255,83
Brazil_56820080,350.37330404415553,58.37080300017255,380.0212785078233,86
Brazil_56825000,106.42305280473876,83.68833836495585,125.2993398708675,89
Brazil_56846080,198.730129869047,131.87115243888502,407.64588913647435,92
Brazil_56850000,400.8851666492277,340.38451790211667,480.08735575433764,81
Brazil_56920000,393.14554748386286,357.5783841950476,411.89071974687363,172
Brazil_56948005,286.241735980273,256.9487780541338,322.8086407615628,114
Brazil_56990000,50.2479551785718,31.392980205301324,65.96684455444847,133
Brazil_56992400,79.58561606932517,30.2361607249727,222.3452561631308,130
Brazil_57460000,64.5409041405855,47.3813814637258,79.05646934950065,131
Brazil_57555000,83.17284791201065,38.01801454684467,97.42184787536672,132
Brazil_57580000,67.39068231803626,53.34589728680966,81.30781677952565,202
Brazil_58096000,63.94729010349481,47.00471136281169,91.12760328136847,356
Brazil_58235000,60.205502430421696,50.45350221496334,75.7829996746674,170
Brazil_58240080,234.6880311441006,126.27497723986235,341.0095980355091,197
Brazil_58300001,110.05390783376801,88.44634475741027,148.81743517480973,340
Brazil_58305001,86.00717709960095,66.73472906799347,110.87551576220574,402
Brazil_58318002,83.1917907614092,43.301140576449185,108.59543136769409,166
Brazil_58620000,77.30336474207131,42.6636778553988,104.14700405802674,114
Brazil_58651980,179.57022018693797,153.39875541070276,191.53612930170425,142
Brazil_58795000,197.317669898288,39.15716607011094,330.8776215787556,167
Brazil_58880001,385.86960170931366,334.54382371859606,436.8992374467391,186
Brazil_58940000,91.12347984987892,47.892191930558326,118.52701741990516,161
Brazil_58960000,110.94423005725515,39.028241569220725,156.49168373761108,165
Brazil_58974000,501.67933710167927,305.47431557163816,793.241164760026,176
Brazil_60235005,728.3764167520094,589.053669782571,838.2452215907936,256
Brazil_60320000,1314.3406571555543,165.77650473068928,1584.5673743783445,268
Brazil_60340000,437.98143303307063,31.1087226397923,487.3137350193257,610
Brazil_60544990,92.5612851956453,62.58138723988128,114.04807148162776,282
Brazil_60798000,85.77938740860003,65.23589788887563,102.69506055096878,315
Brazil_60805000,98.23083822889058,83.91352006212512,113.57311871360452,292
Brazil_60905000,90.1335499260741,68.62049107239656,102.34499066229023,522
