stationid,date,width,area_hypso,qobs,Q_est,kge,nse,nrmse
luanxian,2017-11-24,193.938448646338,121.05451001038875,17.4,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2017-12-10,191.136574074186,116.357696097001,15.2,160.40138839984635,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-03-16,193.938448646338,121.05451001038875,20.4,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-05-03,193.938448646338,121.05451001038875,36.9,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-06-20,193.938448646338,121.05451001038875,32.3,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-06-29,191.136574074186,116.357696097001,35.7,160.40138839984635,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-08-16,209.470579426745,149.54216865192012,940.8333333333334,229.24659840932526,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-09-24,193.938448646338,121.05451001038875,69.4,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-10-10,193.938448646338,121.05451001038875,44.6,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-10-26,193.938448646338,121.05451001038875,21.6,169.68279566842563,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
luanxian,2018-11-20,191.136574074186,116.357696097001,19.6,160.40138839984635,-1.1418378048886662,-0.8170886335454524,3.6432589139969673
shihuiyao,2007-07-03,114.634630145356,82.13268620736538,134.5,37.890416606118755,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2007-08-04,104.91451208490729,61.85742607707097,31.1,25.059703180272816,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2007-09-05,108.72374640571374,69.35622297550884,58.8,29.612336499107226,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2007-09-12,96.037233480322,46.47997142455615,33.6,16.508079493028184,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
shihuiyao,2007-09-28,98.1023586528845,49.80530480832195,20.9,18.26219304503311,-0.23868760340092687,-0.44919412242897594,1.1751100471169786
