COMID,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID_x,date,COMID_y,width_u_r
42037498,42241500050111,42241500051,749816301.295,46.83212136,130.3357972,75.04492,0.09192,1105.884598,11.321279,8,1,0,0.0,707.0,1,1,0,-50082.01953,0.0187,193.15955945,SWOT_L2_HR_RiverSP_Node_004_381_AS_20231005T101442_20231005T102109_PGD0_01.zip,18,jiamusi,42037498,2023-10-05,42037498,0.01023730597249895
42037498,42241500050111,42241500051,750760873.853,46.83196219,130.3357631,74.66045,0.09127,1127.479042,11.617664,0,0,0,0.01881403992,707.0,1,1,0,41050.3125,0.01517,193.15955945,SWOT_L2_HR_RiverSP_Node_005_103_AS_20231016T083805_20231016T084407_PGD0_01.zip,18,jiamusi,42037498,2023-10-16,42037498,0.010304106388879556
42037498,42241500050111,42241500051,744408188.818,46.83191463,130.3356828,77.84683,0.0919,1191.411926,11.187274,8,1,0,0.0,707.0,1,1,0,-49103.75781,0.01857,193.15955945,SWOT_L2_HR_RiverSP_Node_001_381_AS_20230803T195930_20230803T200556_PGD0_01.zip,18,jiamusi,42037498,2023-08-03,42037498,0.009389929507890455
42037498,42241500050111,42241500051,751619006.46,46.83229281,130.3359371,74.21047,0.09273,1079.34537,10.716988,8,1,0,0.05990868675,707.0,1,1,0,-49533.72656,0.02232,193.15955945,SWOT_L2_HR_RiverSP_Node_005_381_AS_20231026T065948_20231026T070614_PGD0_01.zip,18,jiamusi,42037498,2023-10-26,42037498,0.009929155484309901
42037498,42241500050111,42241500051,749595486.938,46.82999392,130.334951,75.21286,0.09242,1152.176585,16.797833,262149,2,0,0.05683357408,707.0,1,1,0,-16535.00586,0.02103,193.15955945,SWOT_L2_HR_RiverSP_Node_004_310_AS_20231002T205510_20231002T210205_PGD0_01.zip,18,jiamusi,42037498,2023-10-02,42037498,0.01457921747298831
42037498,42241500050111,42241500051,751398191.604,46.83226949,130.3358764,74.28553,0.09126,1117.875708,17.432479,8,1,0,0.07531521987,707.0,1,1,0,-16890.86719,0.01513,193.15955945,SWOT_L2_HR_RiverSP_Node_005_310_AS_20231023T174015_20231023T174709_PGD0_01.zip,18,jiamusi,42037498,2023-10-23,42037498,0.015594290917358408
42037498,42241500050111,42241500051,744187373.413,46.82942918,130.3342904,77.50352,0.09203,1220.555044,18.857164,262145,2,0,0.0,707.0,1,1,0,-16651.74609,0.01921,193.15955945,SWOT_L2_HR_RiverSP_Node_001_310_AS_20230801T063957_20230801T064651_PGD0_01.zip,18,jiamusi,42037498,2023-08-01,42037498,0.015449662915816849
42037498,42241500050111,42241500051,753421711.584,46.82916681,130.3340724,75.92131,0.0967,1148.211946,7.736795,8388612,3,1,0.76432930953,707.0,1,1,0,-49285.23438,0.03536,193.15955945,SWOT_L2_HR_RiverSP_Node_006_381_AS_20231116T034453_20231116T035119_PGD0_01.zip,18,jiamusi,42037498,2023-11-16,42037498,0.006738124461213366
42037498,42241500050111,42241500051,753200896.736,46.83202869,130.3358056,75.06909,0.09203,1182.136643,20.302501,8,1,1,0.00344031793,707.0,1,1,0,-16739.5957,0.01922,193.15955945,SWOT_L2_HR_RiverSP_Node_006_310_AS_20231113T142520_20231113T143214_PGD0_01.zip,18,jiamusi,42037498,2023-11-13,42037498,0.017174411367942004
42037498,42241500050111,42241500051,752563579.27,46.83255387,130.3360981,73.84279,0.09265,1076.265266,9.124426,4,1,0,0.17934346297,707.0,1,1,0,41581.23047,0.02201,193.15955945,SWOT_L2_HR_RiverSP_Node_006_103_AS_20231106T052310_20231106T052913_PGD0_01.zip,18,jiamusi,42037498,2023-11-06,42037498,0.008477859769563537
42037498,42241500050111,42241500051,754366284.638,46.82946834,130.3339625,74.9078,0.10226,1131.294864,10.937393,4,1,1,0.77911834001,707.0,1,1,0,41543.03516,0.04855,193.15955945,SWOT_L2_HR_RiverSP_Node_007_103_AS_20231127T020816_20231127T021418_PGD0_01.zip,18,jiamusi,42037498,2023-11-27,42037498,0.009668030279327777
42037498,42241500050111,42241500051,755224417.142,46.83017659,130.3340135,75.43005,0.09949,1117.122894,8.66531,12,1,2,0.82363727312,707.0,1,1,0,-49475.34375,0.04241,193.15955945,SWOT_L2_HR_RiverSP_Node_007_381_AS_20231207T002958_20231207T003624_PGD0_01.zip,18,jiamusi,42037498,2023-12-07,42037498,0.007756809968304167
42037498,42241500050111,42241500051,756168987.939,46.82946336,130.3346144,74.88409,0.10355,1112.891367,13.484867,4,1,2,0.74183035284,707.0,1,1,0,40710.01953,0.05122,193.15955945,SWOT_L2_HR_RiverSP_Node_008_103_AS_20231217T225319_20231217T225921_PGD0_01.zip,18,jiamusi,42037498,2023-12-17,42037498,0.012116966129722885
