stationid,COMID,distance,lon,lat
Brazil_16370000,62013203,0.001343502884258767,-56.8706,0.6425
Brazil_16430000,62022433,0.001979898987303745,-57.0431,-0.9978
Brazil_16460000,62022432,0.0007778174593093558,-57.0614,-1.065
Brazil_16480000,62022395,0.0011333333333567452,-57.9747,-0.6947
Brazil_16500000,62027456,0.0017677669529725742,-57.0569,-1.1006
Brazil_16590000,62027414,0.004124789556926531,-56.8519,-1.3706
Brazil_16800000,62027494,0.0010077477638779822,-56.04,-1.1014
Brazil_17090000,62027516,0.001366666666690719,-54.8728,-1.5031
Brazil_17091000,62131553,3.3333333311347246e-05,-59.0078,-13.4608
Brazil_17092800,62127271,0.0002999999999886427,-58.185300000000005,-13.0264
Brazil_17093000,62113575,0.0011333333333141127,-58.3428,-11.3583
Brazil_17095000,62118074,0.001178511301953898,-58.0481,-11.7181
Brazil_17120000,62113594,0.002806737924693725,-57.4236,-11.5367
Brazil_17122000,62108902,0.00037712361662775953,-57.72720000000001,-10.8231
Brazil_17123000,62108872,0.002533333333351706,-58.0042,-10.6392
Brazil_17130000,62084274,0.004200000000018633,-58.2808,-7.7311
Brazil_17200000,62131295,0.0008013876853474918,-55.3347,-13.5575
Brazil_17210000,62122487,0.0008249579113853136,-55.7928,-12.6742
Brazil_17280000,62118017,0.0011551815634133647,-55.7025,-11.6517
Brazil_17300000,62108814,0.000867307455400639,-55.5508,-10.9558
Brazil_17340000,62103788,0.001674979270156799,-55.5706,-10.1133
Brazil_17343000,62103947,0.0024776781245302304,-54.9708,-10.2194
Brazil_17380000,62099011,0.002266666666681516,-56.0194,-9.6406
Brazil_17610000,62074432,0.000866666666645699,-56.8517,-6.8197
Brazil_17650002,62058166,0.003071011415031592,-56.7231,-4.8864
Brazil_17675000,62068909,0.000589255650993278,-55.7725,-6.2575
Brazil_18119000,62038153,0.0008000000000194518,-54.2967,-2.8
Brazil_18200000,62032714,0.0009899494936703212,-54.3972,-1.7789
Brazil_18415000,62131313,0.0010135197197331074,-53.0761,-13.5692
Brazil_18420000,62127450,0.0005333333333510382,-54.4453,-13.1408
Brazil_18422000,62113779,0.001133333333315889,-54.47670000000001,-11.1272
Brazil_18435000,62108971,0.0017182031958374768,-52.1833,-10.5547
Brazil_18436000,62103999,0.001814907405045881,-52.1144,-10.0472
Brazil_18500000,62074102,0.0033469720976118745,-51.7736,-6.7453
Brazil_18510000,62074058,0.0002999999999815373,-52.0578,-6.6042
Brazil_18520000,62063358,0.002357022603961179,-52.8772,-5.3928
Brazil_18590000,62068831,0.0011333333333185536,-54.0836,-6.1872
Brazil_18640000,62079344,0.0023041026211617927,-54.8236,-7.3461
Brazil_18650000,62063455,0.002533333333346377,-54.52080000000001,-5.65
Brazil_18870000,62058464,0.00037712361660721016,-51.4283,-4.9161
Brazil_18880000,62048146,0.0028653097564012783,-51.5675,-3.7314
Brazil_19150000,62022301,0.002466666666656514,-52.5692,-0.5692
Brazil_20050000,62139303,0.0013800161029722251,-48.6739,-14.977499999999996
Brazil_20090000,62139298,3.3333333362861595e-05,-48.7583,-14.8558
Brazil_20200000,62142708,0.0002121320343868717,-49.6908,-15.4961
Brazil_20250000,62142622,0.0014333333333524936,-49.5519,-15.2753
Brazil_20489100,62139229,0.0008666666666865552,-49.1725,-14.7967
Brazil_20490000,62139225,0.0011333333333141127,-49.0639,-14.7397
Brazil_20500000,62135202,0.0008000000000265574,-49.0417,-14.5186
Brazil_20700000,62135892,0.001633673433959267,-48.2033,-14.3692
Brazil_21050000,62130936,0.0014522013940195802,-48.1381,-13.5331
Brazil_21080000,62126764,0.0008013876853474917,-48.2386,-12.8086
Brazil_21220000,62135440,0.0009171210994719353,-47.0472,-14.4508
Brazil_21300000,62135893,0.0005892556509832294,-46.4906,-14.4769
Brazil_21500000,62131258,0.0005892556509543397,-46.8375,-13.7625
Brazil_21600000,62131033,0.000612825877033612,-47.1383,-13.425
Brazil_21650000,62122327,0.0010999999999725674,-47.8861,-12.6211
Brazil_21850000,62122635,4.714045211583814e-05,-47.1958,-12.416700000000002
Brazil_21890000,62122589,0.0008013876853462357,-47.8614,-12.6033
Brazil_21900000,62122324,0.001100000000020529,-47.8944,-12.6136
Brazil_22040000,62122210,0.002899233615214966,-48.3467,-12.251099999999996
Brazil_22100000,62122508,0.0007778174593096699,-48.7117,-12.3922
Brazil_22150000,62118103,0.0005999999999808381,-48.65720000000001,-11.9819
Brazil_22220000,62118599,0.0003771236166390642,-47.8367,-11.7586
Brazil_22250000,62113626,0.0009899494936601156,-48.2886,-11.5328
Brazil_22280000,62113236,0.0023334523779164995,-48.4592,-11.2475
Brazil_22500000,62098864,0.0025000000000190425,-48.38,-9.5681
Brazil_22680000,62104160,0.001966666666685768,-47.4725,-9.9953
Brazil_22700000,62104144,0.001532064692566445,-47.6747,-9.9633
Brazil_22750000,62103738,0.0009663792676285739,-47.8275,-10.0003
Brazil_22850000,62099197,0.0002121320343630063,-47.8086,-9.3186
Brazil_22900000,62098917,0.003936227748610478,-47.9292,-9.3069
Brazil_23100000,62089107,0.0010354816378027277,-48.1114,-8.3917
Brazil_23230000,62084918,0.0014000000000322645,-47.2611,-7.9633
Brazil_23250000,62084620,0.00035355339060249837,-47.3117,-7.707799999999999
Brazil_24100000,62148705,3.687832704568147e-14,-53.1386,-17.1611
Brazil_24180000,62147058,0.00016499158230997185,-52.6706,-16.5575
Brazil_24200000,62145018,0.000533333333315511,-52.54970000000001,-16.2006
Brazil_24500000,62145141,0.0002333333333623955,-53.5481,-16.0778
Brazil_24700000,62144999,0.0005666666666890308,-52.2278,-15.8914
Brazil_24750000,62147124,0.0005656854249529439,-51.4692,-16.3025
Brazil_24800000,62145120,0.00029999999998153726,-51.8528,-15.8897
Brazil_24850000,62142290,0.0011785113020141896,-51.8281,-15.7381
Brazil_24900000,62147262,3.3333333306018176e-05,-50.9967,-16.5125
Brazil_25130000,62142519,0.0008249579113853136,-50.7047,-15.5358
Brazil_25140000,62142296,0.0010268614533895856,-51.1756,-15.3625
Brazil_25200000,62139262,0.003612478373659658,-51.0814,-14.9128
Brazil_25700000,62130980,0.004166666666691299,-50.8,-13.6897
Brazil_25750000,62131190,0.0011785113019827877,-49.9514,-13.8986
Brazil_25800000,62131175,0.0006262764742758014,-50.4011,-13.5614
Brazil_25950000,62126801,0.003180845450157461,-50.585,-13.2097
Brazil_26030000,62117862,0.00253333333331085,-50.6667,-11.9167
Brazil_26040000,62142546,3.333333335575617e-05,-54.1758,-15.3147
Brazil_26050000,62142403,0.0012256517540885773,-53.0558,-15.2492
Brazil_26100000,62139322,0.0011785113020116775,-52.355,-14.6725
Brazil_26150000,62139520,0.0011333333333567452,-51.7197,-14.5997
Brazil_26200000,62135276,0.0011000000000223054,-51.6964,-14.0867
Brazil_26300000,62122310,0.0014579285152192193,-50.9636,-12.2919
Brazil_26350000,62117856,0.001978776277257617,-50.6625,-11.6181
Brazil_26720000,62123194,0.0004006938426397062,-49.5892,-12.4178
Brazil_26800000,62103866,0.002466666666698814,-49.9342,-10.5647
Brazil_27110000,62099342,4.714045206936343e-05,-49.9831,-9.500299999999998
Brazil_28240000,62074692,0.0007778174593115539,-48.4697,-6.6717
Brazil_29100000,62063532,0.0007999999999865893,-49.2214,-5.4867
Brazil_30050000,61036133,0.0011313708498974094,-51.9308,3.7217
Brazil_30055000,61040745,0.0007778174593057384,-51.4219,2.9567
Brazil_30075000,61046098,0.0003771236166325389,-50.925,1.3978
Brazil_30080000,61046359,0.0017677669529744956,-51.70640000000001,0.9861
Brazil_30300000,61046557,0.00023333333333397374,-52.0156,0.9006
Brazil_30400000,61046686,0.0024999999999990585,-51.4389,0.7075
Brazil_31020000,62048615,0.0007999999999697138,-49.2133,-3.5128
Brazil_31490000,62033260,0.0003000000000312753,-47.0547,-1.8669
Brazil_31520000,62028015,0.0002592724864264034,-47.0656,-1.5406
Brazil_31680000,62043092,2.557367212416871e-14,-48.0847,-3.1372
Brazil_31700000,62037945,0.000966379267649613,-47.7681,-2.5128
Brazil_32540000,63001643,0.0003771236166327587,-46.8456,-3.3197
Brazil_32620000,63000434,0.00026666666666841365,-46.3161,-1.8006000000000002
Brazil_32830000,63001069,0.00023570226039302798,-45.6672,-2.9442
Brazil_33190000,63002520,0.0008333333333339077,-45.4669,-3.66
Brazil_33260000,63007067,0.00026666666666841365,-44.9614,-5.1019
Brazil_33286000,63004657,3.333333332733446e-05,-44.6758,-4.37
Brazil_33365000,63004653,0.0002999999999993008,-45.3281,-4.5372
Brazil_33380000,63003543,0.0011571036638468907,-45.2181,-3.7722
Brazil_33480000,63009827,0.0003771236166317539,-44.2486,-6.0208
Brazil_33530000,63007098,0.0009663792676213264,-43.8844,-5.3372
Brazil_33550000,63005836,6.280369834731754e-16,-43.3675,-4.865
Brazil_33590000,63004678,2.3570226039065432e-05,-43.875,-4.4583
Brazil_33630000,63003561,3.333333333266353e-05,-44.1297,-4.1258
Brazil_33680000,63002488,0.00035355339059363046,-44.3792,-3.6278
Brazil_33730000,63002581,0.0003771236166300581,-43.7028,-3.5775
Brazil_33780000,63002553,0.0029698484809831094,-43.8989,-3.4594
Brazil_34020000,63018704,0.00026666666666841365,-45.9261,-9.1131
Brazil_34040000,63016074,0.0008666666666741207,-45.666700000000006,-8.2808
Brazil_34060000,63014836,0.003933333333336009,-45.2544,-7.5667
Brazil_34070000,63013534,0.0005421151989085277,-44.8267,-7.3808
Brazil_34160000,63013595,0.0011785113019785922,-45.3489,-7.1489
Brazil_34170000,63012298,0.00023333333333397374,-44.8139,-7.0819
Brazil_34311000,63012207,0.0011401754250972597,-43.0278,-6.7614
Brazil_34480000,63012290,0.0006128258770256988,-42.1061,-6.9731
Brazil_34600000,63010963,0.0014333333333311773,-42.6969,-6.6222
Brazil_34660000,63008277,0.0016333333333307112,-43.0242,-5.5719
Brazil_34690000,63006918,0.0021684607956359947,-42.8111,-5.135
Brazil_34750000,63006966,0.0007542472332651657,-41.7375,-5.2231
Brazil_34770000,63008316,0.00037712361663341185,-42.2136,-5.6664
Brazil_34790000,63006948,0.0042558456530072675,-42.7167,-5.2
Brazil_34820000,63004626,0.0014333333333311773,-42.9856,-4.2881
Brazil_34930000,63004822,2.3570226037608335e-05,-42.1814,-4.4097
Brazil_34940000,63003660,0.0007542472332677658,-42.2297,-3.9028
Brazil_34980000,63002548,0.0016333333333307112,-41.9742,-3.7239
Brazil_35170000,63001737,0.0008673074554180138,-40.8217,-3.1217
Brazil_36070000,63010992,0.0005666666666712672,-39.6386,-6.5206
Brazil_36290000,63010999,0.0003000000000028536,-38.8672,-6.4067
Brazil_36320000,63009733,0.0010666666666665492,-38.6331,-5.8997
Brazil_36390000,63006931,0.0008333333333334636,-38.1978,-5.2275
Brazil_37090000,63006970,4.714045207584475e-05,-37.3622,-5.2194
Brazil_37410000,63012248,2.357022603969342e-05,-37.7975,-6.7258
Brazil_37470000,63010940,0.0027812866726662404,-37.3525,-6.3781
Brazil_37710150,63008295,0.0013999999999967372,-36.8911,-5.6164
Brazil_37730000,63006939,0.0033668316791224577,-36.8333,-5.3833
Brazil_37761000,63006933,3.333333332733446e-05,-36.7233,-5.2572
Brazil_38880000,63013613,0.000600000000000378,-35.3728,-7.3344
Brazil_39150000,63014913,0.000799999999999912,-35.1733,-7.8942
Brazil_39185000,63016110,0.0008666666666670153,-35.0792,-7.9806
Brazil_39560000,63017462,0.00023333333333219744,-35.5769,-8.6794
Brazil_39590000,63018659,0.0006128258770285877,-35.205,-8.7992
Brazil_39760000,63019952,0.001133333333335429,-35.9497,-9.3136
Brazil_39770000,63019951,2.5121455381253612e-15,-35.8597,-9.4672
Brazil_39870000,63020021,0.00029999999999574817,-36.0228,-9.5067
Brazil_40050000,63042600,0.0018336363386003245,-45.7158,-20.17
Brazil_40070000,63041917,0.0001649915822748018,-45.4792,-19.7761
Brazil_40100000,63041278,0.0022333333333328653,-45.2858,-19.2786
Brazil_40150000,63042659,0.0002121320343542138,-44.7939,-20.1811
Brazil_40330000,63041983,3.3333333334439885e-05,-44.9308,-19.6939
Brazil_40400000,63042022,0.0007542472332655677,-45.1175,-19.7531
Brazil_40710000,63042648,1.0053253905858977e-16,-44.0217,-20.4083
Brazil_40740000,63042635,0.0,-44.1647,-20.155
Brazil_40850000,63041260,0.0013666666666622973,-44.5478,-19.4231
Brazil_41075001,63039866,0.00023333333333397374,-45.7369,-18.4031
Brazil_41260000,63042018,0.0002999999999957481,-43.8147,-19.705
Brazil_41410000,63041363,0.0005666666666641618,-44.0247,-19.2311
Brazil_41600000,63040574,0.0005666666666677145,-44.0383,-19.0111
Brazil_41650002,63039811,0.00040138648595566064,-44.193900000000006,-18.6728
Brazil_41700001,63039837,3.3333333334439885e-05,-43.9658,-18.6383
Brazil_41780002,63039833,0.00016499158227228965,-44.0506,-18.645
Brazil_41818000,63039017,0.00026666666666841365,-44.2258,-18.3061
Brazil_42210000,63035480,0.0016333333333378166,-45.0808,-16.6572
Brazil_42365000,63038241,0.0,-46.355,-17.6619
Brazil_42460000,63034614,0.0007778174593059016,-47.2325,-16.2089
Brazil_42490000,63035584,0.00023333333333397377,-46.88,-16.3494
Brazil_42600000,63036450,0.001133333333335429,-46.3572,-16.8397
Brazil_42690001,63036395,0.00136666666666585,-46.0136,-17.0303
Brazil_42750000,63037216,0.0016999999999995907,-45.8803,-17.1433
Brazil_42850000,63037352,0.0008333333333325754,-45.5325,-17.3506
Brazil_42860000,63037342,0.00035355339059244976,-45.4356,-17.1211
Brazil_42930000,63036375,0.001066666666670102,-45.5394,-17.030599999999996
Brazil_42980000,63036373,0.0016333333333342637,-45.3825,-16.9067
Brazil_43200000,63035472,0.00448763733928127,-45.07,-16.3725
Brazil_43250002,63033730,0.0,-46.4122,-15.6075
Brazil_43300000,63033703,0.002549509756795467,-46.2844,-15.5242
Brazil_43429998,63034596,0.0005333333333332746,-46.1192,-15.9178
Brazil_43670000,63034583,0.0010666666666665492,-45.7417,-16.1331
Brazil_43675000,63035664,0.00040069384267060564,-45.7403,-16.4289
Brazil_43880000,63035538,0.002734146220587406,-45.4142,-16.2811
Brazil_43980002,63034573,0.00025927248643362575,-45.2369,-16.2681
Brazil_44200000,63034501,0.0032154142639567807,-44.8678,-15.949400000000002
Brazil_44290002,63033597,0.001932758535242075,-44.3967,-15.6011
Brazil_45210000,63031331,0.00018856180831287495,-44.4097,-14.2808
Brazil_45260000,63031326,0.00037712361663494427,-44.1522,-14.260000000000002
Brazil_45298000,63031293,0.003346972097619561,-43.7633,-14.3044
Brazil_45480000,63028966,0.0013906433363366497,-43.435,-13.257199999999996
Brazil_45910001,63029773,2.357022604008287e-05,-44.1989,-13.4006
Brazil_45960001,63028999,0.0003771236166302717,-43.9089,-13.291399999999998
Brazil_46035000,63028167,0.0013999999999985135,-43.3797,-12.8686
Brazil_46150000,63027367,0.0027333333333317,-43.2231,-12.1825
Brazil_46610000,63026477,0.0011333333333283235,-44.8772,-11.9794
Brazil_46650000,63026471,0.0008249579113802895,-44.5022,-11.7208
Brazil_46675000,63025566,0.0008975274678562539,-44.1567,-11.6106
Brazil_46870000,63024551,0.0026870057685088986,-43.9494,-11.2356
Brazil_46998000,63024532,0.002200000000000202,-43.1403,-11.0928
Brazil_48020000,63019919,0.001767766952964761,-40.5036,-9.4064
Brazil_48290000,63018615,0.001966666666666228,-39.8239,-8.8097
Brazil_48590000,63017295,0.0014142135623723111,-39.2444,-8.6261
Brazil_49030000,63018587,0.004876360209102646,-38.3,-9.0667
Brazil_49330000,63021220,0.001425170555096075,-37.7561,-9.6261
Brazil_49370000,63021209,0.002224360082761073,-37.4464,-9.7514
Brazil_49660000,63021197,0.002922708028901136,-37.0028,-9.9714
Brazil_49705000,63022388,0.0022333333333346417,-36.8239,-10.2139
