node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
43210800190074,43210800194,746729263.733,34.55832597,112.4722039,148.17777,0.11115,-999999999999.0,-999999999999.0,4194310,3,0,0.0,327.0,2,1,0,14171.83594,0.06523,214.72502404,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_02.zip,1,longmenzhen,43027970,2023-08-30
43210800200011,43210800201,746729263.698,34.55584498,112.4719898,148.22621,0.10227,384.25363,19.579987,8388622,3,0,0.0,284.0,1,1,0,14199.93848,0.04858,154.71454696,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_02.zip,1,longmenzhen,43027970,2023-08-30
43210800200021,43210800201,746729263.667,34.55428104,112.4714665,150.1745,0.10005,288.085176,13.437544,6,1,0,0.0,189.0,1,1,0,14223.75684,0.04371,213.60212559,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_02.zip,1,longmenzhen,43027970,2023-08-30
43210800520024,43210800524,746729266.7,34.70953579,112.6064377,113.03386,0.09617,122.658702,6.50075,8388616,3,0,0.01900983718,75.0,1,1,0,22803.37305,0.0339,241.22064436,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_02.zip,0,baimasi,43030084,2023-08-30
43428700010821,43428700011,746681784.766,32.43574567,115.4172605,22.30547,0.11181,151.404927,4.703329,8388609,3,0,0.01296420824,122.0,1,1,0,-57190.10156,0.06634,229.15779104,SWOT_L2_HR_RiverSP_Node_002_534_AS_20230830T033344_20230830T033905_PGD0_01.zip,7,huaibin,43044183,2023-08-30
43428700020014,43428700024,746681784.779,32.43457381,115.4156476,22.21799,0.10909,220.173321,6.089658,8388612,3,0,0.10817169111,155.5,1,1,0,-57012.73828,0.06166,160.81637904,SWOT_L2_HR_RiverSP_Node_002_534_AS_20230830T033344_20230830T033905_PGD0_01.zip,7,huaibin,43044183,2023-08-30
43428700020024,43428700024,746681784.78,32.43419657,115.4133979,22.23329,0.13158,105.455963,3.672989,8388608,3,0,0.18865216147,80.0,1,1,0,-56809.28906,0.09599,215.83754013,SWOT_L2_HR_RiverSP_Node_002_534_AS_20230830T033344_20230830T033905_PGD0_01.zip,7,huaibin,43044183,2023-08-30
43210800030571,43210800031,746729267.833,34.71963959,112.9303106,105.27839,1.69227,44.749078,1.029645,8390662,3,0,0.78038986892,108.0,1,1,0,51602.12109,1.68988,221.02968111,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_01.zip,5,heishiguan,43027816,2023-08-30
43210800190074,43210800194,746729263.733,34.55832597,112.4722039,148.17777,0.11115,-999999999999.0,-999999999999.0,4194310,3,0,0.0,327.0,2,1,0,14171.83594,0.06523,214.72502404,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_01.zip,1,longmenzhen,43027970,2023-08-30
43210800200011,43210800201,746729263.698,34.55584498,112.4719898,148.22621,0.10227,384.25363,19.579987,8388622,3,0,0.0,284.0,1,1,0,14199.93848,0.04858,154.71454696,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_01.zip,1,longmenzhen,43027970,2023-08-30
43210800200021,43210800201,746729263.667,34.55428104,112.4714665,150.1745,0.10005,288.085176,13.437544,6,1,0,0.0,189.0,1,1,0,14223.75684,0.04371,213.60212559,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_01.zip,1,longmenzhen,43027970,2023-08-30
43210800520024,43210800524,746729266.7,34.70953579,112.6064377,113.03386,0.09617,122.658702,6.50075,8388616,3,0,0.01900983718,75.0,1,1,0,22803.37305,0.0339,241.22064436,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_01.zip,0,baimasi,43030084,2023-08-30
43428700010821,43428700011,744879079.913,32.43574067,115.4170884,21.14371,0.10716,149.054908,4.688002,8388616,3,0,0.01305340914,122.0,1,1,0,-57547.16406,0.05816,229.15779104,SWOT_L2_HR_RiverSP_Node_001_534_AS_20230809T064606_20230809T065400_PGD0_01.zip,7,huaibin,43044183,2023-08-09
