ID,glow_lat,glow_lon,stationid,gage_lat,gage_lon,distance,COMID,COMID-mean
R73005683XS0133300,40.43083333382353,-77.9873377321441,USGS_01563200,40.428964,-77.991114,9969237.47027553,73005683,624.1920490149448
R73011911XS0141171,34.23859585273058,-81.3152625174071,USGS_02161000,34.243203,-81.319541,9911083.229102954,73011911,118.93935464978303
R73011911XS0141172,34.23943134415223,-81.31693134215314,USGS_02161000,34.243203,-81.319541,9911083.229102954,73011911,118.93935464978303
R73012026XS0142051,34.157821637216536,-84.07666666688941,USGS_02334430,34.156944,-84.078889,10188449.49320059,73012026,193.6793211568326
R73012026XS0142052,34.15936004419959,-84.07583333350085,USGS_02334430,34.156944,-84.078889,10188449.49320059,73012026,193.6793211568326
R73012026XS0142053,34.16088341533554,-84.07661658538638,USGS_02334430,34.156944,-84.078889,10188449.49320059,73012026,193.6793211568326
R73013218XS0145933,33.54750000003355,-86.09499001772645,USGS_02404400,33.548438,-86.09691600000002,10363555.360320542,73013218,184.18089453523217
R73013218XS0145934,33.54718748710693,-86.09302081816857,USGS_02404400,33.548438,-86.09691600000002,10363555.360320542,73013218,184.18089453523217
R73015437XS0150060,32.60709349825051,-86.251260162573,USGS_02411000,32.614020000000004,-86.25497,10333380.820574708,73015437,181.98625576564518
R73015437XS0150061,32.6087627184298,-86.2516666668442,USGS_02411000,32.614020000000004,-86.25497,10333380.820574708,73015437,181.98625576564518
R73015437XS0150062,32.61042592536322,-86.25209258968512,USGS_02411000,32.614020000000004,-86.25497,10333380.820574708,73015437,181.98625576564518
R73020398XS0153923,30.3866666672679,-84.6505545146993,USGS_02330000,30.383253000000003,-84.654911,10062992.31324298,73020398,489.29539061287966
R73020398XS0153924,30.386193332416006,-84.64964000372063,USGS_02330000,30.383253000000003,-84.654911,10062992.31324298,73020398,489.29539061287966
R73020398XS0153925,30.387500000209272,-84.64826277861775,USGS_02330000,30.383253000000003,-84.654911,10062992.31324298,73020398,489.29539061287966
R74002119XS0156132,48.30205760785534,-111.07877572906298,USGS_06101500,48.30637099999999,-111.080528,13799095.764046008,74002119,659.3078524358942
R74002119XS0156136,48.30437130425703,-111.08396203174325,USGS_06101500,48.30637099999999,-111.080528,13799095.764046008,74002119,659.3078524358942
R74002119XS0156137,48.3033333339078,-111.0864671486632,USGS_06101500,48.30637099999999,-111.080528,13799095.764046008,74002119,659.3078524358942
R74002119XS0156138,48.30461232550869,-111.08877898725535,USGS_06101500,48.30637099999999,-111.080528,13799095.764046008,74002119,659.3078524358942
R74004437XS0159741,47.0031642787228,-111.99916666635058,USGS_06066500,46.99466500000001,-112.011111,13797741.060143247,74004437,658.9858379250354
R74004437XS0159742,47.001513376944054,-112.00015329177594,USGS_06066500,46.99466500000001,-112.011111,13797741.060143247,74004437,658.9858379250354
R74004437XS0159743,47.000124066972845,-112.0023759347603,USGS_06066500,46.99466500000001,-112.011111,13797741.060143247,74004437,658.9858379250354
R74004437XS0159748,46.992886848294305,-112.0078868434651,USGS_06066500,46.99466500000001,-112.011111,13797741.060143247,74004437,658.9858379250354
R74004437XS0159749,46.991968300759005,-112.00530162960845,USGS_06066500,46.99466500000001,-112.011111,13797741.060143247,74004437,658.9858379250354
R74005883XS0160804,46.76337308332051,-111.88503974911043,USGS_06065500,46.76605,-111.889713,13769627.954419404,74005883,205.11258682215492
R74005883XS0160805,46.7617802288551,-111.8842802265834,USGS_06065500,46.76605,-111.889713,13769627.954419404,74005883,205.11258682215492
R74009573XS0164085,45.488404690686856,-111.63416666651601,USGS_06041000,45.490206,-111.63413799999998,13658252.523895608,74009573,62.01260933739132
R74009573XS0164086,45.486638961900255,-111.63413896129748,USGS_06041000,45.490206,-111.63413799999998,13658252.523895608,74009573,62.01260933739132
R74014450XS0169140,44.655833333938205,-111.06604448779701,USGS_06037500,44.656872,-111.06827400000002,13546586.382634068,74014450,637.9330337042168
R74018438XS0172368,43.42097139486339,-108.17833333311458,USGS_06259000,43.424958,-108.178986,13175658.576041052,74018438,567.5053859816381
R74026827XS0176282,41.84083333391936,-79.00729167038125,USGS_03012550,41.841449,-79.011985,10170572.143262377,74026827,222.8651470337697
R74026827XS0176283,41.83978868042166,-79.00562201150282,USGS_03012550,41.841449,-79.011985,10170572.143262377,74026827,222.8651470337697
R74026883XS0176479,41.715080654601955,-91.53075267996319,USGS_05453520,41.715293,-91.53017,11389603.409745092,74026883,312.45135648647033
R74026883XS0176480,41.716532718673555,-91.52930061656079,USGS_05453520,41.715293,-91.53017,11389603.409745092,74026883,312.45135648647033
R74029052XS0177377,41.36000000057438,-92.96937984641082,USGS_05488110,41.360553,-92.973256,11509766.667614723,74029052,849.0058954337933
R74045148XS0186262,38.19166666685792,-92.60172458035916,USGS_06926000,38.191422,-92.607407,11279885.613667749,74045148,449.45295530792595
R74045148XS0186263,38.19166666689562,-92.60409617183046,USGS_06926000,38.191422,-92.607407,11279885.613667749,74045148,449.45295530792595
R74045531XS0187674,38.272500000757404,-104.71206246770684,USGS_07099400,38.271669,-104.718033,12528008.481864795,74045531,101.64529487169028
R74045531XS0187675,38.27188942138901,-104.71394391404962,USGS_07099400,38.271669,-104.718033,12528008.481864795,74045531,101.64529487169028
R74053401XS0197266,36.93833333402158,-80.74137203124728,USGS_03168000,36.937622,-80.745626,10009171.73492625,74053401,244.07464219491763
R74053401XS0197267,36.93750000062642,-80.74308740094166,USGS_03168000,36.937622,-80.745626,10009171.73492625,74053401,244.07464219491763
R74053494XS0197609,36.594394820863464,-93.28689481848109,USGS_07053500,36.597563,-93.295183,11261574.852101384,74053494,63.67755893424864
R74053494XS0197610,36.595000000726316,-93.28877186189956,USGS_07053500,36.597563,-93.295183,11261574.852101384,74053494,63.67755893424864
R74053494XS0197611,36.595833334022224,-93.29051359625848,USGS_07053500,36.597563,-93.295183,11261574.852101384,74053494,63.67755893424864
R74055956XS0203683,36.231666667361495,-95.18133658205616,USGS_07191500,36.229538,-95.182741,11437142.768617608,74055956,501.4199876670791
R74055956XS0203684,36.23166666684464,-95.17911203169574,USGS_07191500,36.229538,-95.182741,11437142.768617608,74055956,501.4199876670791
R74058575XS0212930,35.85522814568727,-95.22916666662002,USGS_07193500,35.852876,-95.229128,11423071.658730153,74058575,248.39314500169974
R74058575XS0212931,35.85678925642972,-95.22833333330392,USGS_07193500,35.852876,-95.229128,11423071.658730153,74058575,248.39314500169974
R74058716XS0214208,35.54583333402301,-84.06115011630985,USGS_03518300,35.546707,-84.063396,10262067.592487918,74058716,399.05888949632015
R74058716XS0214209,35.545833333876686,-84.05896140968082,USGS_03518300,35.546707,-84.063396,10262067.592487918,74058716,399.05888949632015
R74058856XS0214589,35.57746622482201,-95.06586710894742,USGS_07198000,35.573151,-95.068846,11392079.337012194,74058856,959.1778813615008
R74058956XS0215030,35.80534195332294,-85.63117528413018,USGS_03422500,35.807739,-85.63364399999998,10436013.736869302,74058956,136.8503334522271
R74058956XS0215031,35.805000000022666,-85.62917318440114,USGS_03422500,35.807739,-85.63364399999998,10436013.736869302,74058956,136.8503334522271
R74061106XS0218731,35.08717599153389,-85.27532401151922,GRDC_4123063,35.0854,-85.2771,10360543.622752698,74061106,334.3344492143772
R74061106XS0218732,35.08856071616958,-85.27393928637967,GRDC_4123063,35.0854,-85.2771,10360543.622752698,74061106,334.3344492143772
R74061355XS0220208,35.43093017082256,-83.44323649721352,USGS_03513000,35.4275,-83.44694399999999,10193102.726388065,74061355,135.76687615068704
R74061355XS0220209,35.430834608211555,-83.44249872514216,USGS_03513000,35.4275,-83.44694399999999,10193102.726388065,74061355,135.76687615068704
R75000464XS0236418,36.57628871468488,-106.72333333297578,USGS_08285500,36.580015,-106.723926,12653150.351825986,75000464,590.6859787823738
