COMID,q50
81000462,0.044329666
81000463,2.3870583
81000464,2.6131835
81000465,2.5803084
81000466,0.9105172
81000467,0.8929621
81000468,2.4059472
81000469,0.84997165
81000470,0.8184898
81000471,0.76312107
81000472,2.2110605
81000473,0.7309791
81000474,2.0551724
81000475,1.9326802
81000476,0.53861827
81000477,0.4521115
81000478,12.847679
81000479,1.8980749
81000480,1.7978536
81000481,12.732407
81000482,1.7128279
81000483,0.32372123
81000484,0.11039281
81000485,0.16657522
81000486,0.59959555
81000487,0.09360676
81000488,0.44789732
81000489,5.831322
81000490,0.05743107
81000491,0.009782033
81000492,0.40768683
81000493,2.0054166
81000494,5.7281513
81000495,2.9698646
81000496,2.7954915
81000497,0.0016963078
81000498,0.4090522
81000499,0.50788724
81000500,0.36708033
81000501,0.4651218
81000502,0.22110787
81000503,0.19444257
81000504,0.41638023
81000505,0.29644394
81000506,0.1739254
81000507,0.34706134
81000508,0.1564921
81000509,0.006968734
81000510,1.034434
81000511,0.95514905
81000512,0.7483921
81000513,0.7177732
81000514,0.3373982
81000515,1.001196
81000516,0.8131094
81000517,1.1157827
81000518,0.48084924
81000519,1.0552595
81000520,0.3426508
81000521,0.3167545
81000522,0.77535737
81000523,0.71499586
81000524,0.29455724
81000525,0.37331748
81000526,0.9699914
81000527,0.30623823
81000528,0.33175588
81000529,0.2568878
81000530,0.34376383
81000531,0.2622261
81000532,0.23584996
81000533,0.13138717
81000534,0.8818149
81000535,0.10817258
81000536,0.15540406
81000537,0.68522835
81000538,0.33127525
81000539,0.21596895
81000540,0.7580352
81000541,0.07924292
81000542,0.116255134
81000543,0.07022562
81000544,0.06314736
81000545,0.05768911
81000546,0.19827354
81000547,0.23536721
81000548,0.2586457
81000549,0.33849895
81000550,0.2621867
81000551,0.16295476
81000552,0.098060004
81000553,0.080756366
81000554,0.25797474
81000555,0.3934865
81000556,0.051893923
81000557,0.20840897
81000558,0.07249869
81000559,0.1075288
81000560,0.12807097
81000561,0.046361074
81000562,0.18288445
81000563,0.14692235
81000564,0.03142965
81000565,0.050702192
81000566,0.14458442
81000567,0.0557371
81000568,0.10404734
81000569,0.05913278
81000570,0.067878015
81000571,0.17209408
81000572,0.123945475
81000573,0.16253752
81000574,0.039593637
81000575,0.047157634
81000576,0.065868124
81000577,0.116290376
81000578,0.04956271
81000579,0.039699487
81000580,0.06316763
81000581,0.037093315
81000582,0.025265222
81000583,0.05844337
81000584,0.012896449
81000585,0.017366372
81000586,0.0034958355
81000587,0.21339715
81000588,0.050133254
81000589,0.061235297
81000590,0.014744759
81000591,0.019845214
81000592,0.0053126006
81000593,0.0038282792
81000594,0.0138130365
81000595,0.005937629
81000596,0.008352818
81000597,0.02545126
81000598,0.007817214
81000599,0.014027229
81000600,0.0018888712
81000601,0.009451671
81000602,0.009218149
81000603,0.026028404
81000604,0.006179375
81000605,0.0039018386
81000606,0.0028279934
81000607,0.017321283
81000608,0.012488073
81000609,0.0012147492
81000610,0.06615893
81000611,0.0090762405
81000612,0.00029592976
81000613,0.13033594
81000614,0.20388974
81000615,0.12711978
