stationid,coverage_95,coverage_50,kge,nse,nrmse,kge_median,nse_median,ci_width_95,ci_width_50,relative_ci_width_95,mean_qobs
Brazil_16800000,0.045454545454545456,0.045454545454545456,-0.719423960422876,-0.7250473668689077,1.971278838662173,-0.780466561413496,-0.7485325707468253,130.10107226259888,106.75156077429996,0.4678822136876366,278.06372727272725
Brazil_17610000,0.3902439024390244,0.3902439024390244,0.14519116956140987,0.2028476392415154,1.0255652763584413,0.1810269845166459,0.15485173670979735,147.94194509899145,144.2711134913461,2.1196713531342417,69.79475609756098
Brazil_18436000,0.15151515151515152,0.10101010101010101,-0.683065643948706,-0.10010662280107319,1.2090066458153719,-0.6492094481861073,-0.11180800313586747,64.95438464290599,51.93479923515992,0.6045260363594862,107.44679424242425
Brazil_20050000,0.985,0.945,0.4550220092447982,-0.14110299788806424,0.6106643582490393,0.3260865034045418,-0.5296867475090097,272.9526770886949,209.16689556646708,3.1070851380240576,87.8484705
Brazil_20250000,0.7019230769230769,0.6105769230769231,0.3940166761511845,0.2533590379067394,0.8743756778483809,0.3844256357862256,0.15566533527574677,515.7506722270346,260.5301243750542,4.469850166307,115.38433125
Brazil_20489100,0.4888888888888889,0.35555555555555557,-0.13947324501131475,0.00627989953679442,1.369940424912095,-0.15868357682427803,0.003086966205784636,260.69540442293476,167.54172675533366,1.0756347637449952,242.36424222222223
Brazil_20490000,0.8688524590163934,0.639344262295082,-0.20143877259046516,-0.09216181545358193,0.9798608539558259,-0.23715084402902908,-0.18634027582379042,587.2678181519266,304.97662326056127,2.392062869580355,245.50684918032786
Brazil_21650000,0.6911764705882353,0.4950980392156863,0.3102100005261079,0.06411397812123165,0.9386465932354117,0.31147923927371945,0.0564846275159091,309.71061420673357,181.36173715594907,1.1991791571014527,258.26884362745096
Brazil_21900000,0.026595744680851064,0.005319148936170213,0.036671026432319564,-0.11658225259157207,0.8610571893981572,0.03682048884015854,-0.11637962821751136,130.21133321662901,68.45475146641361,0.308267615535988,422.39705585106384
Brazil_22900000,0.7748344370860927,0.7682119205298014,0.2343175020810312,-0.03266810923627528,0.46866113504258655,0.21580560551731587,-0.08236127324612275,405.5468979296285,390.6713523125257,0.9059388659816253,447.6537139072848
Brazil_23100000,0.07246376811594203,0.06521739130434782,-0.9618714723707764,-0.04522593597904567,0.6331538975307557,-0.8479035228742098,-0.04325884301076499,121.19648506612975,103.11747422654699,0.05963036637111631,2032.4625260869566
Brazil_25200000,0.7731958762886598,0.4484536082474227,0.4015209605118123,-0.0745530353954198,0.7437453465715981,0.40329387002314965,-0.10127844466671454,1108.1088519297066,594.1580673625327,1.4606722712406603,758.6293474226804
Brazil_25700000,0.16129032258064516,0.1032258064516129,0.09086343326985646,0.17963933380416297,0.7713257840234146,0.08900892780379321,0.17805220921300746,274.22327005179636,145.58652755221368,0.28302848714582945,968.8892903225807
Brazil_25800000,0.6223776223776224,0.3006993006993007,0.041700792018184885,0.1444001522602033,1.2339593344858053,0.051958367746026246,0.15446538889372807,135.8142797158265,85.61762561190004,1.2847685852187805,105.7110839090909
Brazil_25950000,0.28169014084507044,0.14788732394366197,0.33283412189737893,0.4101146990615959,0.6497622164739113,0.3276342043652354,0.4051864271501944,302.93128286843614,160.40642024266964,0.25420621345652117,1191.675367605634
Brazil_26030000,0.2894736842105263,0.10526315789473684,0.3069725060746076,-0.5593326335775677,0.8798894943492289,0.30658687917876337,-0.5630514057211238,626.4701687953739,322.4701312026841,0.6098753107266102,1027.210247368421
Brazil_26100000,0.9691358024691358,0.9135802469135802,0.017366656931922186,-0.30311755298670917,0.395911757963319,0.05648420597721604,-0.41909919577452537,598.4396325755799,468.2276468502049,1.4948893261033047,400.32370432098764
Brazil_26300000,0.765625,0.66796875,0.10158362147324662,0.016259079765962525,0.6089862294845502,0.09662640389850485,0.012135464256941786,358.6262356793187,189.21323868874111,0.5731934670209105,625.66350859375
Brazil_34070000,0.2826086956521739,0.2826086956521739,0.14516791094437642,-9.651181350506622,0.5803522430551361,0.08623395489865138,-10.431559349585733,113.44524181932027,113.34946219632134,0.7144062685832824,158.7965375
Brazil_34311000,0.9947916666666666,0.8645833333333334,0.46744359376172673,-1.0634582537300012,0.38907838216819846,0.4035759460187912,-1.2608452113285042,762.3670231895327,440.4769350241743,1.9743417386179243,386.13731770833334
Brazil_34660000,0.9294871794871795,0.9166666666666666,0.0735378668669896,-0.25321331493394905,0.3629782470543054,0.04435304710472188,-0.3805830281086564,379.6138106592899,339.55534330810383,1.0110266151392857,375.47360769230767
