node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,geometry,index_right,stationid,COMID
23216000570901,23216000571,773061542.72,44.91681058,1.7430181,117.69242,0.09834,116.450655,6.676459,0,0,0,0.02117111927,101.0,1,1,0,-26355.99805,0.03963,199.21538852,POINT (1.7430181 44.91681058),672,EWA_9114213,23023069
23283000040231,23283000041,773023128.778,52.55166239,11.9855056,29.09805,0.10079,175.98501,6.101987,0,0,0,0.13678668674,197.879974,1,1,0,23631.68555,0.04537,182.31941061,POINT (11.9855056 52.55166239),1272,GRDC_6340160,23004327
72554000080971,72554000081,773080084.656,43.15512231,-76.3264992,110.2351,0.10285,187.549406,6.208742,0,0,0,0.04668133027,254.0,1,1,0,53838.0,0.04979,191.62379947,POINT (-76.3264992 43.15512231),1688,USGS_04237500,72056082
72554000080981,72554000081,773080084.652,43.15609085,-76.3288047,110.46364,0.11844,112.798645,6.128366,0,0,0,0.14278328129,171.0,2,1,0,53993.8125,0.07699,193.1851412,POINT (-76.32880470000001 43.15609085),1688,USGS_04237500,72056082
72554000120451,72554000121,773080084.511,43.24585589,-76.1666218,112.25148,0.10303,125.055272,7.172105,0,0,0,0.0,94.5,1,1,0,38717.50781,0.05016,204.56486931,POINT (-76.1666218 43.24585589),1689,USGS_04246500,72056041
72554000120461,72554000121,773080084.514,43.24494975,-76.1644781,112.23938,0.09891,132.51379,7.418257,0,0,0,0.0,84.0,1,1,0,38581.20312,0.04101,188.66072745,POINT (-76.1644781 43.24494975),1689,USGS_04246500,72056041
81294100050241,81294100051,773060360.682,62.82851325,-136.5724766,461.16265,0.09503,214.085278,7.868658,0,0,0,0.01095254158,182.0,1,1,0,-30179.26953,0.0305,182.97060014,POINT (-136.5724766 62.82851325),571,Canada_09BC001,81021748
81295000100451,81295000101,773060350.62,62.10217566,-136.2718061,518.0378,0.09788,149.564931,7.281789,0,0,0,0.0,156.0,1,1,0,18980.07031,0.03847,206.1302829,POINT (-136.2718061 62.10217566),1059,GRDC_4203400,81023614
72192500250041,72192500251,785439516.786,54.84897903,-73.9876568,364.37662,0.10062,137.413402,7.35419,0,0,1,0.05786905187,107.0,1,1,0,22561.44141,0.045,216.40434673,POINT (-73.9876568 54.84897903),1143,GRDC_4214830,72012052
72608800010261,72608800011,785439666.197,47.07079247,-69.0741345,183.89339,0.11131,55.39623,3.836296,0,0,1,0.0,84.0,1,1,0,-47242.14062,0.0655,213.1470537,POINT (-69.0741345 47.07079247),1384,USGS_01011000,72039840
73112000370231,73112000371,785439686.785,45.72712192,-68.5884226,89.98265,0.10774,86.572994,3.901789,0,0,0,0.01517194643,92.0,1,1,0,-44974.40625,0.05923,219.07905201,POINT (-68.5884226 45.72712192),1387,USGS_01029500,73000148
73112000370241,73112000371,785439686.78,45.72881687,-68.5893838,90.67846,0.0989,111.429656,5.002279,0,0,0,0.0,87.0,1,1,0,-44948.75781,0.04101,186.40432933,POINT (-68.58938379999999 45.72881687),1387,USGS_01029500,73000148
71356300020261,71356300021,785407474.951,53.07052331,-85.0178625,97.8791,0.0957,463.85092,7.86761,0,0,1,0.0,436.0,1,1,0,-48330.21094,0.03254,213.56478428,POINT (-85.01786250000001 53.07052331),1122,GRDC_4214080,71019878
72582200140341,72582200141,785407345.391,45.90547825,-87.2122596,227.30588,0.10063,135.517049,6.568664,0,0,1,0.0,117.0,1,1,0,27622.92969,0.04503,226.90368004,POINT (-87.2122596 45.90547825),1657,USGS_04059000,72046111
72582200140351,72582200141,785407345.395,45.90740734,-87.2127209,228.10102,0.09556,169.576527,8.37918,0,0,1,0.0152155794,145.5,1,1,0,27520.51758,0.03212,181.18823418,POINT (-87.21272089999999 45.90740734),1657,USGS_04059000,72046111
72582400600341,72582400601,785407345.423,46.10717847,-88.2176212,392.99247,0.15375,51.99378,2.721325,0,0,1,0.0,80.0,1,1,0,-53431.99219,0.12465,226.37576042,POINT (-88.2176212 46.10717847),1660,USGS_04062500,72045926
72582400600351,72582400601,785407345.427,46.10901067,-88.2168649,392.99407,0.14958,31.364216,2.540497,0,0,1,0.0,97.5,1,1,0,-53431.87109,0.11947,192.5128017,POINT (-88.2168649 46.10901067),1660,USGS_04062500,72045926
74222700220481,74222700221,785407105.178,32.49470184,-92.1166503,14.46382,0.10101,175.41744,5.141462,0,0,0,0.06301812832,171.5,1,1,0,-46344.88672,0.04585,200.33743519,POINT (-92.1166503 32.49470184),1827,USGS_07367005,74069865
74222700220491,74222700221,785407105.182,32.49636555,-92.1173792,14.5194,0.1015,130.987467,5.343297,0,0,0,0.01060887331,189.0,1,1,0,-46442.22266,0.04692,198.259759,POINT (-92.1173792 32.49636555),1827,USGS_07367005,74069865
74222700220501,74222700221,785407105.185,32.49777523,-92.1179953,14.44349,0.09659,202.318715,5.557802,0,0,0,0.0138788751,199.0,1,1,0,-46533.87109,0.03507,195.78164403,POINT (-92.1179953 32.49777523),1827,USGS_07367005,74069865
74252600030201,74252600031,785407164.868,35.76724076,-91.2902098,65.15943,0.1001,118.868246,5.708244,0,0,0,0.0,101.0,1,1,0,-43309.70312,0.04383,189.23539149,POINT (-91.2902098 35.76724076),1785,USGS_07074420,74058570
74252600030211,74252600031,785407164.87,35.76862732,-91.2913885,65.03863,0.09614,121.309609,5.477334,0,0,0,0.0,106.5,1,1,0,-43435.73438,0.0338,218.87165758,POINT (-91.2913885 35.76862732),1785,USGS_07074420,74058570
74270500050281,74270500051,785407204.923,37.89747189,-89.8299926,105.22339,0.09388,498.477284,9.406128,0,0,0,0.0,462.0,1,1,0,33665.96094,0.02673,207.9982317,POINT (-89.8299926 37.89747189),1013,GRDC_4127502,74047997
74282500030281,74282500031,785407254.219,40.55289239,-89.7736617,130.71834,0.09744,192.565499,7.859585,0,0,0,0.0,195.0,1,1,0,-27764.02539,0.03734,180.59447319,POINT (-89.77366170000001 40.55289239),1736,USGS_05568500,74031466
74282500030291,74282500031,785407254.221,40.55311786,-89.7712055,130.6955,0.09525,207.935193,7.648305,0,0,0,0.0,195.0,1,1,0,-27571.625,0.03119,211.78276378,POINT (-89.77120549999999 40.55311786),1736,USGS_05568500,74031466
74282600160031,74282600161,785407284.493,42.17011553,-88.2833508,222.04923,0.11443,161.935926,5.353488,0,0,0,0.0,195.0,1,1,0,50962.10156,0.07066,192.14912665,POINT (-88.28335079999999 42.17011553),1734,USGS_05550000,74024735
74287200100291,74287200101,785407274.332,41.77798653,-89.7450085,184.60977,0.10731,127.261118,3.974126,1,1,0,0.0,137.0,1,1,0,-56400.28125,0.05845,225.78168864,POINT (-89.7450085 41.77798653),1711,USGS_05443500,74026748
74287200100301,74287200101,785407274.335,41.7795575,-89.745865,184.61536,0.10467,157.904457,5.294603,0,0,0,0.0,127.0,1,1,0,-56513.31641,0.05343,188.66087801,POINT (-89.74586499999999 41.7795575),1711,USGS_05443500,74026748
74287200100401,74287200101,785407274.345,41.78264177,-89.7383092,185.67411,0.10701,159.750463,5.288127,0,0,0,0.09352649739,153.5,1,1,0,-55982.52344,0.0579,184.6877721,POINT (-89.7383092 41.78264177),1711,USGS_05443500,74026748
74287200420431,74287200421,785407284.819,42.44996352,-89.0629561,216.38101,0.10129,151.221665,9.065679,0,0,0,0.0,143.0,1,1,0,-19123.20703,0.04646,184.09351161,POINT (-89.06295609999999 42.44996352),1709,USGS_05437500,74024542
74287200420441,74287200421,785407284.817,42.44973598,-89.0651106,216.44047,0.09689,136.829751,7.798708,0,0,0,0.0,152.0,1,1,0,-19283.94141,0.03588,212.97078823,POINT (-89.0651106 42.44973598),1709,USGS_05437500,74024542
75350200260311,75350200261,785406844.764,17.44588047,-94.8702522,12.51163,0.09677,209.492761,8.23456,0,0,0,0.0,132.5,1,1,0,-31634.44727,0.03556,194.82415412,POINT (-94.8702522 17.44588047),1189,GRDC_4359500,75040583
12795000280011,12795000281,785461598.526,-28.49628004,24.6054463,1091.66812,0.09931,143.407309,5.544612,0,0,0,0.01091191877,127.0,1,1,0,-41335.03125,0.04198,200.10933185,POINT (24.6054463 -28.49628004),708,GRDC_1159500,12082657
12795000280021,12795000281,785461598.529,-28.49507359,24.6072281,1091.55241,0.09714,136.058095,6.013678,0,0,0,0.0,117.0,1,1,0,-41192.6875,0.03655,185.22796623,POINT (24.6072281 -28.49507359),708,GRDC_1159500,12082657
72350200010281,72350200011,785401311.598,53.53100989,-57.4969623,10.41145,0.09397,588.418825,8.594392,0,0,1,0.12448462442,405.0,2,2,0,38464.51172,0.02702,197.57596895,POINT (-57.4969623 53.53100989),479,Canada_03QC001,72016320
72350200010291,72350200011,785401311.593,53.52968369,-57.5001972,10.44873,0.0947,570.298359,7.889186,0,0,1,0.22788813053,310.5,2,2,0,38349.71875,0.02947,204.56482429,POINT (-57.5001972 53.52968369),479,Canada_03QC001,72016320
29499300060191,29499300061,785376355.768,38.68737625,39.9285323,856.32141,0.11026,62.856244,3.018661,0,0,0,0.27829944062,108.0,1,1,0,40669.03125,0.0637,216.40437905,POINT (39.9285323 38.68737625),1334,GRDC_6695400,29000990
41301300490131,41301300491,785390417.482,38.87844311,139.9045015,1.57944,0.09527,232.956004,8.391939,0,0,0,0.12090204498,149.0,2,2,0,27424.11719,0.03124,182.97064587,POINT (139.9045015 38.87844311),830,GRDC_2589701,41003777
41301300490141,41301300491,785390417.482,38.87881369,139.9067304,1.71546,0.09622,144.612797,7.402126,0,0,0,0.0,184.0,2,1,0,27211.91016,0.03404,212.37653884,POINT (139.9067304 38.87881369),830,GRDC_2589701,41003777
41301300520031,41301300521,785390417.831,38.76223672,140.06083,20.98268,0.09495,191.707625,11.804533,0,0,0,0.0,169.0,1,1,0,17082.00586,0.03024,187.61612808,POINT (140.06083 38.76223672),829,GRDC_2589700,41003785
41301300520041,41301300521,785390417.835,38.76091352,140.0623974,21.25346,0.09314,201.586991,10.493947,0,0,0,0.0,169.0,1,1,0,16978.98633,0.02397,208.12439728,POINT (140.0623974 38.76091352),829,GRDC_2589700,41003785
41301300860801,41301300861,785390410.56,39.48721171,140.405966,14.55156,0.09586,149.821316,6.225184,0,0,0,0.0,151.0,1,1,0,-29937.58984,0.03299,218.12122015,POINT (140.405966 39.48721171),833,GRDC_2589751,41003541
41301300860811,41301300861,785390410.561,39.48704089,140.408028,14.72608,0.1055,136.664124,4.789447,0,0,0,0.21284144984,131.0,1,1,0,-30111.91016,0.05506,190.79593944,POINT (140.408028 39.48704089),833,GRDC_2589751,41003541
41301302400245,41301302405,785390408.613,40.1979338,140.2341804,8.63084,0.09948,102.500614,4.750928,0,0,0,0.05559979878,84.0,1,1,0,-33223.57031,0.04238,204.1167262,POINT (140.2341804 40.1979338),836,GRDC_2589800,41003312
41301302400255,41301302405,785390408.61,40.19954405,140.2358045,8.88638,0.10707,145.294955,4.882519,0,0,0,0.02269223933,127.0,1,1,0,-33371.74219,0.05801,234.5201491,POINT (140.2358045 40.19954405),836,GRDC_2589800,41003312
62244600110961,62244600111,785440686.455,-11.33948449,-58.3358816,237.17406,0.11729,70.848479,3.943323,0,0,0,0.0,89.0,1,1,0,43964.98438,0.07521,220.20183029,POINT (-58.3358816 -11.33948449),909,GRDC_3629380,62113571
62244600110971,62244600111,785440686.46,-11.34176655,-58.3357529,237.3998,0.09748,166.892928,5.256025,0,0,0,0.03659771614,210.0,1,1,0,43976.73047,0.03744,191.15968338,POINT (-58.3357529 -11.34176655),909,GRDC_3629380,62113571
62244600120011,62244600121,785440686.464,-11.34319414,-58.3361326,237.41907,0.09298,327.209188,6.291684,0,0,0,0.03130540924,402.0,1,1,0,44052.73828,0.02334,226.49931363,POINT (-58.3361326 -11.34319414),909,GRDC_3629380,62113571
62244600120141,62244600121,785440686.517,-11.36527845,-58.3392116,237.54847,0.0921,453.056784,6.777838,0,0,0,0.00550587761,519.0,1,1,0,44739.44141,0.01958,229.80954457,POINT (-58.3392116 -11.36527845),101,Brazil_17093000,62113575
62244900090111,62244900091,785440695.832,-11.53141681,-57.4209615,233.85855,0.102,208.078167,6.842669,0,0,0,0.0,258.0,2,2,0,-51528.47656,0.048,181.7946322,POINT (-57.4209615 -11.53141681),103,Brazil_17120000,62113594
62254900400081,62254900401,785440606.548,-6.79628184,-59.0414071,32.27877,0.11099,128.585181,4.599869,0,0,0,0.0,129.0,1,1,0,46651.14844,0.06495,201.89023374,POINT (-59.0414071 -6.79628184),88,Brazil_15910000,62074494
62284800340471,62284800341,785440435.796,3.37631063,-59.809894,73.72328,0.09978,109.863301,5.478831,0,0,0,0.0,112.5,1,1,0,-32036.54102,0.04309,205.32342647,POINT (-59.809894 3.37631063),61,Brazil_14526000,62001147
