stationid,w5_low,w95_high,w10_low,w90_high,w15_low,w85_high,w50,w_low,w_high
USGS_02355662,35.532475770621936,92.583368385752,38.59821112064725,87.68431140210673,40.568914602468325,84.96930449027364,63.339871769538895,38.59821112064725,87.68431140210673
USGS_02356000,82.5350422215199,127.944224077044,90.40871097316655,119.39427165287324,94.20874358117015,115.2707209037115,104.40285650197114,90.40871097316655,119.39427165287324
USGS_02358700,166.7967330569262,246.21708316345044,175.99030429609653,236.25065537381107,183.160765850914,233.2176988852817,218.84407745586,175.99030429609653,236.25065537381107
USGS_02358754,82.07398260518882,184.91365425694104,86.50477853398925,177.59545128924293,94.50120202597762,170.143535880699,141.522836950338,86.50477853398925,177.59545128924293
USGS_02359170,124.9828742054092,161.46230488710034,132.617934489645,153.953454074961,134.407792152658,152.03743937395,141.799855914606,132.617934489645,153.953454074961
USGS_02365200,56.6921670120289,110.063968494069,64.0092688281151,100.717754409657,71.6953001475333,100.717754409657,87.3748040391465,64.0092688281151,100.717754409657
USGS_02365500,36.1951619044889,95.51698231418679,40.001436947149664,89.51616455105881,42.23169296670464,85.9057288075242,64.37359074224509,40.001436947149664,89.51616455105881
USGS_02366500,92.79313886427445,130.44680598427013,95.9692267003464,127.71260354993234,99.7597258382097,124.99003119475343,113.33038341593068,95.9692267003464,127.71260354993234
USGS_02407000,117.423103144866,166.67030520801958,127.790935158162,164.404193353685,135.43350847082,164.404193353685,149.296780991455,127.790935158162,164.404193353685
USGS_02411000,100.82229206818229,156.55187243355235,114.42374621384687,151.48595431883268,123.32591466319894,147.920015141879,135.79305527984934,114.42374621384687,151.48595431883268
USGS_02419890,48.86140272363269,84.48747559437166,53.498715060404045,78.94150090188924,53.498715060404045,78.2955895406961,66.962115444799,53.498715060404045,78.94150090188924
USGS_02420000,132.7482959131122,167.0135707874474,136.422401020589,163.25995677817846,141.2387126042464,157.628551412555,151.61983490174202,136.422401020589,163.25995677817846
USGS_02444160,74.53211697466837,134.36515176379194,81.37112285503063,128.8945587766646,84.5435475374738,122.91913829936688,98.57379902374517,81.37112285503063,128.8945587766646
USGS_02447025,163.593853517967,214.795673885139,172.4882735020206,210.472327340162,177.5975797476566,208.60720289981495,192.141642063535,172.4882735020206,210.472327340162
USGS_02462500,414.11760127736756,482.98724694062577,429.23161597618,475.3397330755036,434.87876661052985,469.2369081083366,450.386017148334,429.23161597618,475.3397330755036
USGS_02462951,430.4073204288559,607.2004943153473,452.40864411107157,595.9882465537696,462.1949731418913,581.564868014524,498.6911038673665,452.40864411107157,595.9882465537696
USGS_02465000,180.10497347586863,272.0745549458289,196.91735479418452,265.66468877290333,208.4717734658785,259.33506797376003,235.55228959857274,196.91735479418452,265.66468877290333
USGS_02466030,216.57954804621946,339.8601939295657,247.51723403200396,314.6869259382428,253.28371019301508,308.21912679887805,281.7339511094997,247.51723403200396,314.6869259382428
USGS_02467000,179.32085267939465,286.163571888897,191.07552555317437,273.734146435876,197.60435671785635,264.9166636103385,212.1335567742057,191.07552555317437,273.734146435876
USGS_02469761,218.61353893336045,392.3652173732915,238.82887557426878,380.9277294955861,247.85702529772132,370.840554170496,290.1085032002827,238.82887557426878,380.9277294955861
USGS_02475000,38.890378004757125,115.45197116983557,43.61828676807898,102.7202769753996,49.194260391652,98.41141120426204,72.57646167321192,43.61828676807898,102.7202769753996
USGS_02479000,71.39335146318263,137.6933444542041,78.77054473454604,130.0007682919805,86.38855109899582,124.31351280788233,107.8594216323662,78.77054473454604,130.0007682919805
USGS_02479310,85.7644149690819,123.520057564472,92.6400431733543,123.520057564472,92.6400431733543,112.965365145633,92.6400431733543,92.6400431733543,123.520057564472
USGS_02489500,62.04281117012645,114.99246350188292,65.84632012193686,106.88776819518034,68.75464668425334,104.03761217222632,87.05483512806457,65.84632012193686,106.88776819518034
USGS_03012550,77.30743269850268,166.9654386484606,83.40578956513085,151.436859154462,88.85153935674731,137.162630645161,108.80078988837394,83.40578956513085,151.436859154462
USGS_03015310,82.2551050469831,126.722202800985,82.2551050469831,112.882645989861,85.2637043537491,112.581786059185,100.607560818256,82.2551050469831,112.882645989861
USGS_03016000,139.2315017073028,327.5361420592849,145.15762327613763,233.61271843888701,147.6239114725784,208.8699205181849,166.47228911379065,145.15762327613763,233.61271843888701
USGS_03025500,124.36860792871185,186.4885274200417,130.129199414775,182.05269485380933,132.82182646182972,174.261249943392,147.50653746622368,130.129199414775,182.05269485380933
