COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
78003025,103,78340700050931,55.71518499,-127.6878239,751853754.655,315.52246,0.10367,210.686717,5.074264,GRDC_4206920,67,0.02408440395414202
78003025,206,78340700050931,55.71518626,-127.6878444,752145028.471,315.6277,0.09686,192.89719,5.120584,GRDC_4206920,67,0.026545664039999754
78003025,865,78340700050931,55.71519184,-127.6879592,752711891.8,315.75603,0.10295,196.889511,5.383836,GRDC_4206920,67,0.02734445310293853
78003025,296,78340700050931,55.71516444,-127.6878034,753089597.093,315.38538,0.1064,221.681331,4.327145,GRDC_4206920,67,0.019519663566076297
78003025,55,78340700050931,55.71514534,-127.6878966,753656459.773,315.57727,0.09741,216.136936,5.183404,GRDC_4206920,67,0.023982037017495246
78003025,642,78340700050931,55.715159,-127.6878717,753947733.64,315.64449,0.09536,242.877572,7.488849,GRDC_4206920,67,0.030833843315923797
78003025,2,78340700050931,55.715132,-127.6877148,754514597.252,315.31155,0.10653,163.794553,4.803987,GRDC_4206920,67,0.02932934528048683
78003025,313,78340700050931,55.71496501,-127.6874031,754892302.638,314.96472,0.16331,58.72593,1.562801,GRDC_4206920,67,0.026611770984299444
78003025,675,78340700050931,55.71519046,-127.6877915,755459164.874,314.85655,0.11153,172.854827,5.471382,GRDC_4206920,67,0.031653047212849894
78003025,35,78340700050931,55.71509218,-127.6879048,755750437.608,315.02592,0.10542,205.578612,6.030219,GRDC_4206920,67,0.0293329103710458
78003025,684,78340700050931,55.71525008,-127.6877256,756317300.84,314.97734,0.11178,163.680897,4.894695,GRDC_4206920,67,0.02990388670707248
78003025,94,78340700050931,55.71513628,-127.6873467,756695007.689,316.97478,0.11044,207.798477,3.969277,GRDC_4206920,67,0.019101569257410873
78003025,772,78340700050931,55.71516116,-127.6878526,757261870.929,314.87452,0.10485,183.400725,5.532587,GRDC_4206920,67,0.03016665828338465
78003025,440,78340700050931,55.7152966,-127.68782,758120006.74,315.01142,0.13553,183.07587,4.444819,GRDC_4206920,67,0.02427856276198496
78003025,531,78340700050931,55.71520082,-127.6874436,758497712.17,315.08395,0.23327,42.102736,2.808902,GRDC_4206920,67,0.06671542675991413
78003025,467,78340700050931,55.71512921,-127.6877642,759064576.171,315.35242,0.11656,169.749316,5.556636,GRDC_4206920,67,0.03273436459679166
78003025,613,78340700050931,55.71515508,-127.6882387,759922712.931,316.23559,0.10923,169.022514,4.538659,GRDC_4206920,67,0.026852393166983658
78003025,44,78340700050931,55.71519439,-127.6877726,760300418.345,315.47568,0.1094,217.599742,3.910816,GRDC_4206920,67,0.017972521309331333
78003025,3,78340700050931,55.71519851,-127.6879487,760867280.622,314.98079,0.10788,181.513994,6.730795,GRDC_4206920,67,0.037081410924162686
78003025,267,78340700050931,55.71500874,-127.687739,761158554.578,315.08614,0.10639,200.900568,5.62629,GRDC_4206920,67,0.028005346405989257
78003025,2,78340700050931,55.71525249,-127.6878733,761725417.972,315.17068,0.11323,173.772772,5.335553,GRDC_4206920,67,0.030704194555865174
78003025,487,78340700050931,55.71506011,-127.6878213,762669986.054,314.90409,0.11729,186.484598,5.814912,GRDC_4206920,67,0.03118172794087799
78003025,128,78340700050931,55.71520333,-127.68774,762961259.039,315.02601,0.10859,211.806588,5.929803,GRDC_4206920,67,0.0279963104830337
