stationid,date,width
tonghe,2009-08-04,1056.1261512598833
tonghe,2009-09-12,1069.78075057633
tonghe,2009-09-21,1150.24146323077
tonghe,2009-09-28,1076.96503141698
tonghe,2009-10-07,1068.69663290895
tonghe,2010-05-03,1024.35870453999
tonghe,2010-06-04,1061.35633839385
tonghe,2010-07-29,1047.8176163940786
tonghe,2010-09-08,1143.3144431223366
tonghe,2010-09-15,1147.84893591507
tonghe,2011-06-14,1081.8068638454167
tonghe,2011-07-25,1061.35633839385
tonghe,2011-08-01,1056.0452541098266
tonghe,2011-08-26,1081.88071557611
tonghe,2011-09-02,1071.9804013579633
tonghe,2011-09-11,1059.5058544536666
tonghe,2011-09-18,1047.0828834670167
tonghe,2011-10-04,1008.630847366294
tonghe,2013-07-14,1693.8053143876034
tonghe,2013-07-21,1652.56164310462
tonghe,2014-04-12,1109.80628236311
tonghe,2014-04-28,1105.00096583576
tonghe,2014-05-30,1130.2709286545637
tonghe,2014-06-22,1139.79793606117
tonghe,2014-09-19,1138.24517959475
tonghe,2014-10-05,1120.87448029436
tonghe,2015-07-04,1138.24517959475
tonghe,2015-08-05,1107.1835645491135
tonghe,2015-09-06,1129.5457682688832
tonghe,2015-09-13,1118.097403766295
tonghe,2015-09-29,1118.097403766295
tonghe,2015-10-24,994.902437863036
tonghe,2016-06-04,1143.15105507401
tonghe,2016-07-06,1138.24517959475
tonghe,2016-08-23,617.3192561122237
tonghe,2017-05-29,836.181058716114
tonghe,2017-06-23,1137.59690201788
tonghe,2017-07-16,1119.9959937388
tonghe,2017-09-02,1120.3913571924031
tonghe,2017-09-27,1118.097403766295
tonghe,2017-10-04,822.78277985763
tonghe,2018-04-30,786.280997184523
tonghe,2018-05-09,516.8611388387603
tonghe,2018-06-17,617.4677715460236
tonghe,2018-07-28,1154.53955202104
tonghe,2018-10-07,1153.6132790240365
tonghe,2019-05-03,533.2946914867475
tonghe,2019-06-04,1112.779372153953
tonghe,2019-09-01,1687.208267192863
tonghe,2019-09-17,1682.19399333963
tonghe,2019-09-24,1682.0956742444698
tonghe,2020-04-12,1122.38334177908
tonghe,2020-07-01,1149.52320466532
tonghe,2020-07-24,1117.7739821881532
